time/other,Port1,Port2,Port3,Port4,Port5,Port6,Port7,Port8,Port9,Port10,Port11,Port12,Port13,Port14,Port15,Port16,Port17,Port18,Port19,Port20,Port21,Port22,Port23,Port24,Port25,Port26,Port27,Port28,Port29,Port30,Port31,Port32,Port33,Port34,Port35,Port36,Port37,Port38,Port39,Port40,Port41,Port42,Port43,Port44,Port45,Port46,Port47,Port48,Port49,Port50,Port51,Port52,Port53,Port54,Port55,Port56,Port57,Port58,Port59,Port60,Port61,Port62,Port63,Port64
0.002,-25.747,-133.7659,-25.6494,-30.1375,-27.1677,-32.4805,-44.5852,-51.995,-54.1742,-57.662,-64.4377,-66.0847,-64.0065,-72.7251,-81.8015,-95.6733,0.9525,-97.0761,-93.5842,-78.4172,-72.4389,-69.6948,-63.5793,-3.88,-3.0167,-8.4229,-4.0065,-7.0418,-2.1386,-4.3638,-29.8171,65.3152,-6.0984,-1.1942,-1.3594,-5.8513,-2.6049,-5.2697,-2.3092,-5.7108,-4.4572,-3.8329,-4.5042,-9.1365,-3.3297,-2.2109,-2.8815,-3.5915,0.60014,1.334,-4.2863,-5.4408,-1.8879,-4.4856,-7.5084,-3.5792,-0.78645,-2.8806,-0.2718,-2.4844,-4.7941,-1.1357,-3.1108,-3.6493
0.004,-28.1681,-134.0718,-25.929,-28.9567,-31.0623,-33.4316,-44.5438,-50.928,-57.4499,-58.7561,-64.6578,-65.6216,-68.8228,-74.4701,-81.9918,-94.424,-0.21796,-98.8934,-92.9374,-78.2131,-75.6759,-71.1278,-59.1809,-4.4204,-2.863,-8.9255,-3.8898,-6.6504,-3.1378,-4.2143,-29.5919,65.4773,-6.293,-1.2544,-1.3888,-7.1399,-2.3938,-6.2283,-1.9068,-6.0247,-3.6454,-3.4711,-5.0963,-9.0172,-3.6371,-2.2085,-3.5687,-3.9425,0.25637,0.82326,-4.1205,-5.894,-2.3696,-4.7944,-7.4884,-4.5628,-0.43158,-2.4321,-0.37649,-3.2537,-5.1753,-0.95433,-2.6416,-4.3873
0.006,-26.3694,-133.3473,-24.7419,-26.846,-29.9594,-30.2932,-43.1789,-49.5819,-56.3053,-56.6482,-62.8407,-63.3088,-67.7204,-72.4792,-80.3786,-92.5486,0.53119,-97.649,-90.6516,-77.7488,-74.229,-69.4354,-61.3898,-4.7117,-2.01,-8.562,-4.4601,-7.3876,-2.3837,-3.0329,-29.4102,65.1745,-7.1441,-0.65856,-1.464,-6.3944,-2.5866,-5.7631,-1.3023,-5.7053,-3.5943,-3.7646,-4.2569,-9.0429,-4.0772,-2.1476,-2.8102,-3.8391,-0.12247,-0.19048,-4.3545,-6.2958,-2.7221,-5.3094,-6.7705,-4.7849,-1.4321,-1.2217,-0.3973,-2.0762,-5.0859,-1.296,-2.6388,-3.0646
0.008,-25.7267,-134.4097,-25.3739,-27.4807,-28.5825,-29.6846,-43.3777,-49.7713,-54.9212,-56.6411,-62.1951,-62.6258,-65.7121,-72.2019,-80.3686,-92.5698,0.8651,-97.1934,-90.8306,-77.6271,-72.3984,-69.5626,-55.7357,-4.9746,-2.2042,-8.0952,-4.8745,-7.6569,-1.9437,-3.2733,-29.8562,64.5306,-6.9742,-0.09488,-1.85,-5.3315,-3.8948,-5.3998,-1.2565,-5.2979,-4.7401,-3.8971,-4.2586,-9.0545,-3.3836,-2.6456,-2.3338,-3.2834,-0.18421,0.10541,-5.1036,-6.1785,-2.7597,-5.3189,-6.4347,-3.8029,-1.0976,-1.4729,-0.58962,-2.7186,-4.9657,-1.7062,-2.745,-2.8148
0.01,-25.3131,-134.9705,-26.7177,-30.7857,-28.9927,-30.5271,-43.7063,-51.1501,-55.569,-57.6787,-62.9311,-64.8825,-66.0133,-72.4204,-81.6736,-94.1361,0.46035,-97.9623,-91.8333,-76.8596,-73.0028,-70.7067,-45.049,-4.7698,-2.3437,-8.7198,-4.2721,-6.9832,-2.1408,-4.0544,-29.5527,64.7934,-6.6726,-0.5495,-2.6686,-5.3131,-3.3582,-5.3086,-2.66,-5.964,-5.5709,-3.7429,-4.386,-8.6327,-2.5258,-2.4575,-2.3205,-2.857,-0.14,0.51699,-5.4507,-5.8419,-2.578,-4.3673,-6.8381,-3.3401,0.011404,-1.7924,-0.45966,-3.6553,-4.8609,-1.9956,-2.496,-3.5564
0.012,-27.5122,-133.7859,-25.7809,-29.5212,-31.4025,-33.3421,-42.2466,-49.8952,-57.8653,-59.0842,-63.9202,-64.545,-67.6539,-72.5121,-81.5018,-92.6422,0.14682,-98.555,-92.0116,-77.3457,-75.4508,-71.8759,-48.9869,-4.5707,-3.1391,-8.879,-4.3975,-7.3604,-2.207,-4.3187,-29.281,64.8818,-6.5866,0.1144,-2.4229,-6.8162,-2.2664,-5.827,-3.5316,-6.2786,-5.099,-1.7651,-4.5604,-8.3236,-3.3352,-2.375,-2.9536,-3.4748,0.60701,-0.046027,-4.7757,-6.15,-3.0535,-4.1889,-7.7603,-3.8174,0.19148,-1.7331,0.24873,-2.8492,-5.9307,-1.4626,-2.8322,-3.4173
0.014,-26.688,-132.8417,-23.6039,-25.7148,-29.157,-31.6255,-40.4637,-47.6559,-55.8425,-57.1353,-61.3111,-62.1603,-65.1319,-69.8554,-77.9365,-90.4505,0.96984,-95.0472,-89.0476,-76.0739,-74.698,-69.4879,-50.4423,-4.4349,-3.302,-8.7076,-4.092,-7.4333,-2.4884,-4.0191,-28.8534,65.2452,-6.6097,-0.163,-2.1377,-7.1774,-2.7928,-6.2106,-3.4777,-5.5646,-5.0634,-2.041,-4.1511,-9.236,-3.8627,-2.3643,-2.8737,-3.9558,1.2511,-0.24904,-5.3222,-5.5824,-2.4496,-4.4513,-7.5817,-3.9482,-0.467,-1.0393,-0.0029795,-2.0293,-5.6571,-0.92679,-3.0939,-3.0724
0.016,-25.9331,-132.7874,-26.5348,-29.5595,-27.7846,-31.6952,-44.8729,-51.6887,-54.2018,-57.9679,-63.9762,-66.1013,-63.9324,-70.8697,-80.7615,-94.6042,1.3784,-96.5888,-91.5714,-78.2597,-73.4588,-69.8788,-48.4942,-4.8395,-3.1042,-8.7162,-3.6058,-6.9482,-2.4608,-3.9703,-28.8438,65.6917,-7.032,-1.4147,-1.9855,-6.1145,-2.2696,-6.0023,-2.8966,-5.0902,-5.4182,-3.4227,-4.0006,-9.3197,-3.2082,-1.3012,-2.2155,-3.6935,1.1696,0.50651,-4.7573,-4.8516,-2.2389,-4.8751,-6.3336,-3.9394,-0.91906,-1.2098,0.55392,-2.11,-4.5788,-1.0235,-2.688,-3.0518
0.018,-28.4423,-133.9528,-28.7031,-30.195,-32.4148,-35.4584,-45.9303,-52.3442,-58.2884,-61.807,-67.3182,-65.9772,-68.6676,-74.4294,-84.0418,-95.2965,0.44754,-100.6167,-94.3451,-79.5724,-76.4699,-72.3215,-53.6561,-5.3835,-3.0231,-8.6517,-3.7069,-7.1233,-2.2906,-3.8471,-29.8347,65.5011,-7.2873,-1.1533,-2.6892,-6.148,-2.448,-5.5379,-1.4069,-5.1549,-5.4726,-2.7406,-5.1699,-9.0578,-4.086,-1.6782,-2.3237,-3.6433,0.95535,0.27421,-4.5328,-6.1396,-2.0493,-4.9695,-6.0774,-3.2262,-0.66742,-2.6671,0.35122,-2.295,-5.1788,-1.068,-2.0698,-3.4457
0.02,-27.5589,-133.4903,-25.9084,-26.058,-30.8216,-33.1427,-42.5567,-48.9895,-57.3096,-58.7211,-63.9049,-62.7792,-67.8022,-71.7101,-80.9556,-92.1151,0.62014,-97.3113,-90.2472,-77.286,-76.0443,-69.1415,-56.0029,-5.4402,-2.3301,-8.5406,-3.8514,-7.519,-2.1401,-3.6458,-29.7868,63.9912,-7.5361,-0.61043,-3.0165,-5.8657,-2.9425,-5.3665,-1.8029,-5.5055,-4.943,-2.1986,-5.303,-9.4166,-4.333,-2.5654,-2.7475,-3.2967,0.96831,0.12555,-4.524,-6.3603,-1.9201,-4.6048,-6.7521,-3.2892,-0.24776,-2.7123,-0.47158,-2.3442,-5.6979,-0.85901,-1.4825,-3.0447
