time/other,Port1,Port2,Port3,Port4,Port5,Port6,Port7,Port8,Port9,Port10,Port11,Port12,Port13,Port14,Port15,Port16,Port17,Port18,Port19,Port20,Port21,Port22,Port23,Port24,Port25,Port26,Port27,Port28,Port29,Port30,Port31,Port32,Port33,Port34,Port35,Port36,Port37,Port38,Port39,Port40,Port41,Port42,Port43,Port44,Port45,Port46,Port47,Port48,Port49,Port50,Port51,Port52,Port53,Port54,Port55,Port56,Port57,Port58,Port59,Port60,Port61,Port62,Port63,Port64
0.002,-40.0729,-124.5253,-1.6211,5.2404,18.662,33.7601,47.8528,59.5409,71.1104,86.7653,110.906,124.1692,-445.9711,-420.1029,-386.3796,-376.8228,-127.225,-273.1696,-215.5552,-175.9349,-150.7232,-128.5976,-127.2264,-4.7056,-3.7302,-8.6444,-4.1317,-7.7729,-2.0032,-3.9001,-59.4854,123.1994,-7.2755,-0.68892,-3.3726,-5.3197,-2.9243,-5.1812,-1.3194,-4.8675,-4.3059,-3.422,-4.0317,-8.3162,-3.2075,-2.0732,-2.4027,-3.0219,-0.27876,0.13819,-4.4368,-4.7934,-2.2874,-3.4522,-5.7941,-3.7018,-1.371,-1.8776,-0.32538,-2.7622,-5.5152,-1.2105,-1.7611,-3.7142
0.004,-44.9349,-125.0431,-6.7019,0.37844,15.7613,31.4628,43.6295,54.7452,68.5079,83.744,107.9567,120.9181,-437.4134,-417.5415,-385.7192,-376.5525,-127.4313,-269.9013,-213.2462,-170.38,-147.0153,-130.3609,-125.9113,-4.311,-3.6363,-8.8801,-4.3931,-6.6866,-2.4047,-3.4703,-58.4067,125.2612,-5.8133,-0.32795,-2.491,-6.0384,-2.7889,-4.724,-1.7445,-5.3628,-4.1541,-2.3675,-3.9557,-9.8519,-3.6271,-2.3008,-3.1051,-3.1372,0.72637,0.28336,-4.7165,-5.1086,-2.4503,-3.4786,-6.4445,-4.3878,-0.82749,-1.5113,0.26378,-3.2638,-4.5729,-1.0057,-2.6533,-4.3085
0.006,-49.6098,-125.0415,-9.6814,-0.91105,11.4543,28.445,39.5429,52.7532,64.4781,80.456,103.4499,118.8382,-435.6072,-420.6352,-387.6135,-379.2918,-126.8796,-273.4165,-216.0956,-170.7732,-147.1756,-134.3328,-127.5766,-4.6452,-2.4419,-8.6279,-4.1424,-6.753,-1.2371,-3.1172,-58.4245,127.9526,-6.3103,-0.31916,-2.6186,-5.8094,-3.3003,-5.0971,-2.4434,-4.913,-4.8646,-2.6345,-3.5486,-9.6927,-3.4356,-2.239,-3.2336,-2.7491,0.96659,-0.14938,-5.2825,-4.7524,-2.0335,-4.7099,-7.359,-3.6582,-0.46189,-1.8643,-0.257,-2.8327,-4.4596,-1.4746,-2.8032,-3.3749
0.008,-47.8203,-125.7063,-7.1767,2.5407,10.1523,28.0433,39.8689,55.8176,62.2955,79.6221,103.837,119.7319,-442.0691,-423.8422,-388.2716,-377.1181,-127.4749,-276.5812,-217.7748,-173.2725,-150.9246,-134.7889,-126.9129,-5.3821,-2.3579,-8.3941,-3.2841,-7.1433,-1.8919,-3.1608,-58.1755,127.0998,-7.5961,-0.67608,-1.9773,-5.8126,-3.3393,-5.333,-2.3548,-5.418,-5.7882,-3.1741,-4.0946,-8.7739,-4.7398,-2.4233,-3.2328,-3.1409,-0.051498,-0.55069,-4.6784,-4.6011,-3.5145,-5.0556,-6.7382,-4.0388,-1.2851,-2.2877,-0.36771,-2.2775,-5.7741,-1.5862,-1.7899,-3.338
0.01,-41.776,-125.139,-4.5821,4.73,13.8607,30.8408,42.9695,57.9884,65.3761,82.1467,106.0704,119.9777,-442.4466,-419.5956,-387.7027,-377.3671,-127.0467,-277.2299,-215.5656,-174.1711,-149.9704,-132.8151,-121.9005,-4.4054,-3.1003,-8.1157,-2.945,-7.3527,-2.7488,-2.9557,-57.8017,125.6022,-7.3884,-0.74189,-1.454,-6.596,-3.0836,-5.4267,-2.1246,-6.1129,-5.8823,-3.4402,-4.2767,-9.3038,-4.0952,-2.3046,-3.2987,-3.6243,-0.19869,0.27216,-4.9441,-5.5523,-2.8829,-4.9668,-5.7153,-4.9074,-1.4132,-1.4883,0.12781,-1.8589,-5.0092,-1.3256,-1.2798,-3.2613
0.012,-40.1563,-124.5524,-3.3128,4.4917,16.9378,32.5777,44.5165,56.6435,68.0312,83.8698,105.83,119.4829,-441.5226,-418.8781,-388.6599,-382.7964,-126.4784,-275.3559,-217.684,-174.3109,-147.3793,-130.2955,-119.024,-4.255,-3.4242,-7.9414,-2.7371,-7.908,-2.5793,-3.9587,-58.621,124.5109,-7.6402,-1.6836,-2.4006,-6.9262,-3.3576,-5.7715,-2.2115,-5.7862,-5.6619,-4.1935,-3.7215,-9.73,-3.1026,-2.7249,-2.8049,-3.1039,0.18262,0.37336,-5.5108,-5.5279,-2.151,-4.9004,-6.5193,-3.9717,-1.2135,-1.1561,0.4161,-2.0491,-4.1154,-1.0212,-1.8272,-3.6113
0.014,-42.2709,-124.3966,-3.729,4.3429,15.4974,31.4717,43.0679,54.4852,66.8063,82.2174,104.3385,117.9176,-444.8964,-426.3036,-391.8703,-387.8406,-126.5597,-277.5479,-223.7312,-178.5179,-153.7044,-133.5004,-122.806,-4.8037,-2.8775,-8.4987,-3.8696,-8.1539,-2.1814,-4.4921,-59.7884,123.2787,-6.8364,-2.0101,-2.0177,-6.434,-3.8914,-5.5745,-2.5537,-5.0888,-4.6798,-2.5394,-4.7862,-8.8685,-3.9045,-3.0603,-2.5556,-3.5866,1.1,0.51093,-5.1518,-4.8225,-2.5718,-4.4483,-7.2334,-3.3262,-1.169,-1.8287,0.74964,-2.804,-4.8818,-0.56707,-1.8652,-4.515
0.016,-40.5016,-124.2943,-2.3933,7.0299,13.035,30.608,43.6895,57.4443,64.4553,81.0942,105.3508,119.176,-446.4037,-427.2712,-393.2203,-388.4989,-127.3718,-282.351,-224.7644,-182.0352,-159.1351,-138.712,-125.1859,-4.6649,-2.0363,-8.7797,-4.7442,-7.5914,-1.7078,-3.8332,-60.0484,125.6353,-5.9472,-1.0226,-2.7415,-5.4162,-3.6651,-5.7684,-2.0811,-5.4682,-4.7929,-2.7529,-4.5571,-8.3146,-3.7909,-2.6724,-2.8636,-3.9887,0.75687,0.97367,-4.8355,-4.8552,-2.0358,-4.1395,-7.1919,-3.6809,-0.82523,-2.0512,0.32024,-2.5477,-4.8163,-0.27324,-1.7766,-3.9052
0.018,-36.5375,-124.8657,0.5288,10.1712,16.9397,34.051,47.2845,61.7857,68.3488,84.4439,109.4645,123.0297,-449.1775,-423.1801,-390.5842,-382.0485,-128.3518,-278.719,-219.2152,-179.1886,-156.9319,-134.0893,-122.1982,-4.4396,-2.2562,-9.2652,-3.8596,-7.7257,-1.6671,-3.8047,-58.2923,128.0881,-6.4464,0.16536,-3.2854,-6.0519,-2.6423,-5.3686,-1.5166,-5.5562,-4.9555,-4.3086,-4.0558,-8.5294,-3.9458,-2.6708,-3.7525,-3.1283,-0.58305,0.69791,-4.9513,-5.2349,-1.9528,-4.5667,-7.0949,-3.937,-0.6383,-2.2469,-0.03786,-1.5291,-4.9395,-0.9534,-2.1256,-3.1392
0.02,-36.8797,-124.4046,-1.3476,7.2586,20.7035,35.7402,46.8839,59.8242,71.568,85.4083,109.5251,121.7317,-447.7535,-423.0504,-391.4998,-381.0877,-127.1061,-275.5777,-218.0838,-176.9129,-151.1241,-130.0154,-122.4243,-4.2979,-2.9444,-9.6811,-4.3276,-8.3018,-1.7354,-3.2157,-57.9738,130.9857,-6.8154,-0.18837,-2.751,-6.5353,-2.4487,-5.1925,-1.8146,-5.2295,-4.934,-3.5403,-4.2783,-8.8734,-4.0229,-2.3046,-3.1192,-3.1793,0.016374,0.36853,-5.2927,-5.4231,-1.199,-4.814,-6.4708,-3.676,-0.49657,-1.8658,-0.27781,-2.439,-4.822,-1.6781,-2.5935,-3.2642
