time/other,Port1,Port2,Port3,Port4,Port5,Port6,Port7,Port8,Port9,Port10,Port11,Port12,Port13,Port14,Port15,Port16,Port17,Port18,Port19,Port20,Port21,Port22,Port23,Port24,Port25,Port26,Port27,Port28,Port29,Port30,Port31,Port32,Port33,Port34,Port35,Port36,Port37,Port38,Port39,Port40,Port41,Port42,Port43,Port44,Port45,Port46,Port47,Port48,Port49,Port50,Port51,Port52,Port53,Port54,Port55,Port56,Port57,Port58,Port59,Port60,Port61,Port62,Port63,Port64
0.002,-21.2079,-138.4201,-3.5472,-2.3636,8.6901,14.8082,18.281,22.4008,32.1826,38.6582,50.4577,55.3057,-293.0817,-195.5238,-189.4499,-187.6301,-24.418,-139.5944,-116.872,-90.7689,-76.6177,-64.3546,-59.12,-4.5845,-3.1501,-7.6296,-4.4614,-7.1279,-1.7649,-3.9264,-31.9448,62.0321,-7.1838,-1.3297,-2.2274,-7.4838,-1.937,-5.1586,-2.0902,-6.2551,-4.7554,-3.6624,-3.8852,-10.0271,-3.5168,-1.8362,-3.3818,-4.6353,0.11101,1.0628,-4.4572,-5.363,-1.5989,-4.4565,-6.2962,-4.6151,-0.42242,-0.84057,-0.097141,-2.9346,-5.383,-0.46503,-2.5392,-3.1352
0.004,-27.1873,-138.0638,-7.2737,-2.929,1.9642,9.7664,15.4009,22.393,25.6244,33.3651,47.5057,53.4813,-303.4037,-204.2457,-191.3948,-187.3125,-23.3331,-144.355,-118.5273,-94.1588,-83.3414,-70.0225,-60.9774,-4.6761,-3.0569,-8.3985,-4.6558,-7.7382,-1.9075,-3.9842,-31.7565,63.3218,-7.8117,-1.2302,-1.7375,-6.9232,-2.1344,-4.3726,-2.9475,-5.9053,-4.9155,-4.5346,-4.1408,-9.3117,-3.025,-1.5401,-3.1177,-4.0463,0.050792,0.71538,-5.7384,-5.5338,-1.7251,-4.8268,-7.1206,-4.8655,-0.53846,-1.2602,-0.52793,-2.7041,-4.7492,-1.2791,-1.8575,-3.8478
0.006,-25.4606,-136.6729,-4.6385,-0.7107,3.8514,12.6753,17.6865,25.2997,27.0294,36.2226,50.4493,55.1788,-304.2439,-198.2511,-189.0099,-185.7997,-23.2274,-140.5555,-114.9683,-92.2145,-83.1879,-68.5446,-60.7884,-4.1646,-3.3614,-8.743,-5.0901,-7.8482,-3.0297,-3.3104,-30.828,64.3909,-7.1563,-1.9135,-2.0942,-6.5747,-2.4426,-4.2596,-3.1608,-5.9955,-4.4172,-4.784,-4.7165,-9.1882,-2.816,-2.5154,-2.693,-3.3982,-0.20385,-0.39966,-5.2578,-5.5019,-1.6733,-4.4221,-7.6922,-3.9519,-0.098373,-1.3936,-0.013202,-2.6365,-4.9898,-1.5481,-1.8301,-3.3432
0.008,-23.9397,-136.3237,-4.0813,-1.9046,5.4002,12.828,17.3071,24.123,28.6382,36.5961,49.6193,55.732,-303.8386,-197.4994,-188.2611,-188.7233,-24.1056,-142.1196,-115.8873,-93.012,-81.3114,-69.2174,-61.8992,-5.3924,-3.0932,-8.6294,-4.524,-7.3737,-3.2821,-2.9558,-31.5238,62.2227,-6.5972,-1.6128,-2.5959,-7.0428,-3.2438,-4.7579,-1.5808,-6.347,-3.2142,-4.2303,-4.9315,-8.6966,-3.8235,-2.604,-2.6185,-3.6909,-0.11846,-0.14712,-4.0573,-5.5997,-2.4928,-4.1189,-7.5319,-3.565,-0.0071918,-1.4485,0.41605,-2.6953,-5.599,-0.67968,-2.7375,-2.5802
0.01,-24.6986,-137.5093,-3.5021,-0.82346,4.5566,12.8023,18.1028,25.7492,27.7987,37.0665,50.4347,57.5612,-300.9642,-199.8153,-182.3358,-185.791,-25.3233,-143.3535,-115.1346,-92.3202,-81.8261,-69.8119,-61.3439,-5.7389,-3.1231,-9.2777,-3.8468,-7.0171,-2.1708,-3.4036,-32.5489,60.9476,-6.475,-0.62872,-2.496,-7.9501,-3.2048,-4.9985,-1.7418,-6.0538,-4.0269,-4.7307,-4.5858,-8.7082,-3.9386,-2.1638,-2.5715,-4.1505,0.50593,0.61562,-5.1521,-5.8302,-3.7101,-3.9742,-7.1422,-4.2265,-1.2664,-1.1141,-0.47815,-2.5741,-5.4583,-0.72627,-2.7263,-2.7974
0.012,-24.2163,-137.4502,-3.93,-0.61238,5.9259,13.052,18.5001,25.338,29.0516,38.8672,50.6481,57.8259,-297.5363,-195.6175,-180.5645,-182.7306,-25.2622,-140.2577,-114.0328,-91.1582,-80.9247,-67.8143,-61.7253,-5.3161,-2.8427,-9.328,-3.9415,-6.5985,-2.0129,-3.4478,-31.3332,61.8,-6.3657,-1.3088,-1.4768,-7.4135,-2.8767,-5.0406,-1.2669,-6.1928,-4.7901,-4.1819,-3.9365,-9.4576,-3.5525,-1.8654,-2.3254,-3.9916,0.97634,0.33791,-5.4883,-5.3312,-2.5421,-3.6086,-6.5381,-3.918,-1.1617,-1.4092,-0.41353,-2.489,-5.4421,-0.64084,-3.1195,-3.3041
0.014,-24.9767,-137.0572,-3.006,0.77266,5.5108,12.6584,20.0103,26.4819,29.5297,38.6805,51.591,58.6318,-297.5537,-190.3469,-181.0869,-179.1217,-24.4014,-138.3538,-110.3836,-91.0889,-79.2631,-66.7274,-60.5398,-5.2812,-2.7922,-8.6093,-4.3752,-7.8639,-1.834,-3.8279,-31.7949,62.3572,-7.1353,-1.8413,-1.5298,-5.9598,-2.1416,-4.7604,-0.76459,-6.2056,-5.008,-4.5213,-3.9158,-10.0412,-3.7019,-2.9564,-2.3622,-2.9954,0.25739,-0.22315,-5.4376,-5.286,-0.78103,-4.363,-6.8413,-4.2096,-1.02,-1.7791,-0.67572,-2.4427,-5.0608,-0.86748,-3.4037,-3.4354
0.016,-23.9249,-137.034,-4.3278,-1.1977,7.3067,13.665,20.0355,25.2451,31.5292,38.8807,52.331,56.1402,-295.423,-192.4001,-180.6254,-180.7792,-23.3436,-134.8543,-108.7582,-89.5515,-76.4193,-65.0655,-60.279,-4.2249,-3.4176,-8.4307,-4.1046,-8.4455,-2.1475,-4.1007,-31.3325,63.112,-7.9571,-0.20045,-2.6118,-6.0682,-1.2902,-4.6617,-1.4229,-6.974,-4.8792,-4.6756,-3.9738,-10.1796,-3.7281,-3.547,-2.2149,-3.5216,0.091195,-0.25387,-6.1809,-5.7712,-1.1798,-4.5629,-6.6599,-4.8162,-1.604,-2.1728,-0.45663,-2.4978,-4.4952,-0.57799,-3.18,-3.1231
0.018,-26.7362,-136.5954,-8.9509,-4.3756,5.0212,9.3545,14.9838,21.7711,29.1255,34.5292,47.6339,53.6406,-299.7658,-199.1222,-183.184,-182.7802,-23.1007,-138.0339,-112.9624,-91.285,-78.2097,-70.0491,-63.477,-4.594,-2.8647,-9.0663,-3.9778,-8.0732,-2.0908,-3.6665,-30.7143,63.1927,-7.4652,0.0072432,-2.6237,-5.6272,-2.0866,-5.3532,-1.5534,-6.9124,-5.2935,-3.5923,-4.2789,-10.3056,-4.231,-3.2625,-2.8199,-3.9806,0.33592,-0.51699,-6.0137,-5.4214,-2.7105,-4.255,-6.4641,-4.4802,-1.7479,-2.2113,-0.0020548,-2.884,-5.331,-0.5999,-3.0259,-3.1125
0.02,-28.2205,-137.5205,-5.5578,-0.63796,2.6469,10.6687,17.2735,24.8877,26.2062,35.5027,50.004,58.303,-298.1507,-193.5147,-178.516,-176.7978,-23.9351,-138.3369,-110.2702,-88.646,-79.4861,-68.3426,-60.5938,-4.6942,-2.642,-9.4448,-4.1672,-8.5827,-2.3402,-3.529,-31.707,63.4325,-7.0587,-1.2029,-2.9304,-6.4471,-2.058,-5.3369,-1.9244,-6.7175,-5.6235,-3.6081,-3.8521,-9.9152,-3.628,-2.5208,-3.3708,-3.9229,0.1903,-0.41014,-5.5638,-5.1521,-2.4121,-4.199,-6.3599,-4.2104,-1.1601,-1.364,-0.97207,-3.2981,-6.1062,-1.4712,-2.4449,-3.9117
