time/other,Port1,Port2,Port3,Port4,Port5,Port6,Port7,Port8,Port9,Port10,Port11,Port12,Port13,Port14,Port15,Port16,Port17,Port18,Port19,Port20,Port21,Port22,Port23,Port24,Port25,Port26,Port27,Port28,Port29,Port30,Port31,Port32,Port33,Port34,Port35,Port36,Port37,Port38,Port39,Port40,Port41,Port42,Port43,Port44,Port45,Port46,Port47,Port48,Port49,Port50,Port51,Port52,Port53,Port54,Port55,Port56,Port57,Port58,Port59,Port60,Port61,Port62,Port63,Port64
0.002,-9.5195,-143.5877,-0.86158,-0.3093,2.7185,4.1582,4.2347,6.2857,6.4324,10.6021,13.5883,13.8732,-67.4526,-67.9176,-66.828,-48.7214,-40.319,-37.1092,-30.9703,-20.5465,-20.0247,-16.8195,-17.2768,-4.7521,-3.1359,-9.0427,-4.1889,-6.9879,-2.1294,-3.9914,-11.1058,16.897,-6.6561,-1.8811,-1.7736,-6.4755,-2.5273,-4.5454,-3.1766,-5.5488,-4.4695,-2.7891,-5.06,-8.5406,-4.3223,-2.8026,-3.3933,-4.037,-0.47969,0.074692,-5.3453,-5.7764,-2.3218,-3.5992,-6.7139,-3.9037,0.42367,-2.4102,-1.0379,-2.7174,-5.4845,-0.54504,-2.5165,-3.2362
0.004,-9.5794,-142.8429,-2.0466,-1.1686,1.3378,3.6618,3.5801,5.3403,5.7108,9.2845,12.9593,13.1141,-68.0736,-69.0435,-67.4612,-51.9744,-40.4041,-37.5067,-32.3592,-20.5997,-20.3074,-18.3324,-18.3739,-4.7942,-2.9518,-9.4915,-3.1595,-7.1783,-2.6061,-4.2165,-10.4539,17.7821,-6.4755,-1.39,-0.97087,-7.0762,-2.4414,-5.054,-2.5575,-5.0483,-4.1622,-2.8199,-4.5264,-9.0363,-4.4174,-3.0052,-3.2931,-4.2474,-0.22915,0.31521,-5.3753,-6.0108,-2.3915,-4.0747,-6.1661,-4.3249,-0.13626,-1.6755,-1.1225,-2.7739,-5.1396,-1.0676,-2.2206,-3.9317
0.006,-10.2083,-142.1501,-3.3463,-2.4848,0.78306,2.4204,2.1221,3.8024,5.0389,8.2843,12.8113,11.8421,-69.5149,-69.8189,-67.5328,-52.6313,-40.252,-38.4733,-34.0529,-21.8046,-21.5868,-20.9376,-19.0153,-4.2696,-2.8488,-9.1428,-2.9816,-7.0242,-2.6039,-4.134,-9.9952,18.0039,-6.6503,-1.1842,-1.2622,-6.4931,-1.6842,-5.3751,-2.3494,-5.3644,-3.9001,-3.2398,-3.3808,-8.9014,-3.6349,-3.0637,-2.8039,-4.2747,0.41052,0.43089,-5.313,-5.5289,-3.0974,-4.2264,-7.5327,-4.7541,-0.32517,-1.3148,-0.14034,-2.4078,-5.4375,-1.4422,-2.156,-3.5985
0.008,-11.7734,-142.5117,-2.6775,-2.0559,-0.22872,1.4114,1.8973,3.415,3.2181,8.0224,12.3065,12.3661,-70.6117,-69.6304,-67.8913,-50.8508,-40.554,-39.1225,-34.345,-22.7962,-23.2444,-22.5373,-19.1875,-5.0242,-2.6057,-9.5208,-3.3913,-6.7359,-2.3881,-3.9104,-10.3484,16.9477,-6.4321,-0.87016,-2.6428,-6.3202,-2.3802,-5.4921,-2.3606,-5.9518,-5.0513,-3.4322,-3.7392,-8.2204,-3.1572,-2.4306,-2.7194,-3.3541,0.82021,0.495,-5.1832,-5.2072,-3.3831,-5.2923,-7.4164,-3.56,-0.38987,-1.9273,0.59327,-3.4289,-4.5156,-1.311,-2.9339,-3.1483
0.01,-11.2457,-142.7799,-0.55593,0.5045,0.58505,2.5626,3.7667,6.4525,4.2023,9.8909,13.9618,14.8152,-69.1154,-67.8887,-65.2645,-50.1892,-40.5126,-37.3918,-31.401,-22.4897,-22.5757,-20.1862,-18.2053,-4.9843,-2.1515,-8.981,-3.9342,-6.6132,-2.5196,-4.128,-11.5188,16.2522,-6.7796,-0.54575,-3.4202,-6.2557,-2.3468,-5.9756,-2.3461,-6.7124,-4.8791,-4.1229,-4.1555,-8.6664,-3.604,-2.1756,-2.9495,-3.1489,0.64659,0.7613,-5.1019,-5.6836,-3.3369,-5.2221,-6.1463,-3.9715,-0.47944,-1.7718,-0.25757,-2.9396,-4.0969,-1.3335,-2.877,-3.2419
0.012,-8.8292,-142.7727,1.6217,1.5427,4.152,5.6915,5.8654,8.4206,6.7297,11.9031,16.4056,16.4363,-66.5873,-65.5273,-62.616,-50.8091,-40.7635,-35.0244,-29.2446,-19.9437,-19.6191,-16.1047,-16.7402,-5.1192,-2.514,-8.9574,-3.8795,-7.0713,-2.4978,-3.7828,-11.3587,16.494,-7.3668,-0.60581,-3.4906,-5.9896,-1.6373,-5.7834,-2.3332,-7.1003,-4.1243,-4.247,-4.0565,-8.4827,-3.3524,-2.5238,-2.5042,-3.4146,-0.069234,0.71599,-4.9121,-6.4068,-2.8126,-3.9252,-7.0335,-4.4628,-0.2785,-1.6436,-0.22048,-2.644,-4.5346,-1.3209,-2.5917,-3.3121
0.014,-7.8478,-143.4743,0.91644,0.34957,5.23,6.1095,5.8812,7.2327,7.6351,11.9372,16.5836,15.75,-65.8769,-65.0954,-65.009,-52.3421,-40.8915,-33.8996,-30.5284,-19.4574,-17.744,-15.4882,-16.4454,-5.3601,-3.3044,-9.0548,-3.1622,-7.1013,-2.5101,-3.4061,-11.0948,16.778,-7.2714,-1.0857,-2.3807,-6.3824,-2.3205,-5.4711,-1.5911,-6.4307,-5.3999,-4.5202,-3.5674,-9.0471,-3.2937,-3.0345,-1.8146,-3.5232,-0.40964,0.80178,-4.5999,-5.5685,-2.3109,-3.1006,-7.0836,-3.769,-0.70523,-2.0969,-0.2249,-2.4805,-4.9056,-0.9682,-2.456,-3.0029
0.016,-8.9218,-143.7681,-2.5224,-2.4408,2.5771,2.669,2.9896,4.5585,5.8151,9.7004,13.4671,13.0049,-68.6716,-66.866,-69.2678,-51.6845,-40.939,-35.3549,-32.5008,-22.1737,-18.5623,-18.8814,-17.6162,-4.4605,-3.723,-8.6118,-3.7635,-7.2169,-2.7768,-3.5659,-11.0203,17.3407,-7.4534,-1.3316,-1.8408,-6.7815,-2.7699,-5.3412,-1.4175,-5.1362,-6.0353,-4.5685,-2.7802,-9.2473,-4.046,-3.0676,-2.8204,-3.6058,-0.6754,0.10253,-4.4635,-4.7988,-2.3289,-3.9747,-5.9587,-4.9211,-0.62093,-2.2339,-0.84951,-2.2266,-5.3131,-0.65083,-2.8391,-3.0753
0.018,-11.2309,-143.171,-4.1245,-2.385,0.81455,0.27262,1.2171,3.8726,3.0691,7.7477,11.2289,12.4667,-70.9791,-68.6734,-69.7356,-50.9081,-40.7687,-38.1052,-32.3533,-22.9898,-20.8958,-20.7589,-18.4227,-4.3785,-2.7898,-8.3402,-4.4273,-7.4874,-2.8429,-3.5382,-10.9215,17.9141,-7.3429,-1.1649,-2.5066,-6.654,-2.8502,-5.1596,-1.7102,-5.3404,-4.4721,-3.6664,-3.1595,-9.2804,-3.6722,-2.3082,-3.0826,-3.4752,0.0091952,0.056507,-4.9912,-5.6038,-2.2694,-4.952,-6.8562,-5.2527,-0.53664,-0.98596,-0.69745,-2.3741,-4.9843,-0.51401,-2.6113,-3.8778
0.02,-12.1002,-143.3961,-2.8944,-0.89389,0.82546,1.4649,2.1689,5.1836,3.1649,8.6931,11.8349,13.5519,-70.6995,-69.1813,-67.8382,-50.3636,-40.7333,-39.004,-31.8331,-22.0172,-21.7082,-20.0391,-17.8838,-4.6861,-2.1927,-8.787,-3.7549,-7.5187,-2.2805,-3.8046,-10.5984,18.0998,-6.3809,-0.66026,-3.128,-6.3784,-2.6641,-4.7778,-3.0455,-6.3062,-3.7279,-3.5347,-4.1779,-9.3599,-3.512,-2.9005,-2.4643,-3.6147,-0.041057,0.48524,-5.0572,-6.2299,-2.0714,-4.4694,-6.7703,-4.2498,-0.34849,-0.77859,-0.36139,-2.8054,-5.5035,-1.2235,-1.9058,-3.999
0.022,-10.8768,-143.076,-1.8701,0.18668,1.4625,3.6076,4.035,6.5726,4.8515,10.6807,13.0138,14.2041,-68.7091,-66.8645,-65.473,-50.0383,-40.3183,-37.7754,-31.1908,-21.9706,-21.0786,-18.3417,-17.434,-4.7935,-2.9121,-8.9617,-3.185,-7.7165,-1.6796,-3.8759,-10.6345,16.8464,-6.6879,-0.7292,-2.6135,-6.7241,-2.7388,-4.8619,-3.6203,-5.7731,-4.079,-4.502,-4.2927,-9.1307,-4.1873,-3.2293,-3.2219,-3.645,-0.30378,0.2064,-4.6951,-5.4444,-1.2222,-4.3487,-7.1161,-3.9731,-0.42301,-1.934,0.37444,-3.2793,-4.9681,-1.5395,-2.3577,-3.4567
0.024,-10.1585,-142.8525,-1.5471,-0.0058048,3.1119,4.214,5.1885,6.684,5.3645,11.003,14.5064,14.2809,-68.0171,-64.6955,-63.6009,-52.4623,-39.7397,-35.8518,-31.4628,-21.1057,-20.0674,-17.0183,-17.5933,-4.9161,-4.0457,-8.7297,-3.0257,-7.633,-2.71,-3.4924,-10.8956,16.0143,-7.0172,-0.93663,-2.6119,-6.5982,-2.7079,-4.8958,-1.8774,-5.2479,-5.3751,-4.0263,-4.3207,-9.3872,-4.1421,-2.6471,-3.6164,-4.2954,0.53084,0.057226,-4.6981,-4.9153,-2.026,-5.1046,-7.9819,-3.7173,-0.97842,-1.6296,-0.39257,-2.9528,-4.2767,-1.2277,-2.1236,-2.9902
