time/other,Port1,Port2,Port3,Port4,Port5,Port6,Port7,Port8,Port9,Port10,Port11,Port12,Port13,Port14,Port15,Port16,Port17,Port18,Port19,Port20,Port21,Port22,Port23,Port24,Port25,Port26,Port27,Port28,Port29,Port30,Port31,Port32,Port33,Port34,Port35,Port36,Port37,Port38,Port39,Port40,Port41,Port42,Port43,Port44,Port45,Port46,Port47,Port48,Port49,Port50,Port51,Port52,Port53,Port54,Port55,Port56,Port57,Port58,Port59,Port60,Port61,Port62,Port63,Port64
0.002,-7.3496,-136.7479,-1.8634,-1.388,2.0863,2.3142,1.9082,2.2999,3.3863,7.4507,11.3372,10.8152,-52.5334,-49.7759,-46.7538,-47.2962,-38.2516,-39.0372,-40.1858,-19.5053,-20.5229,-18.5978,-14.0178,-4.9003,-3.6426,-8.6443,-3.2975,-7.2415,-2.6172,-3.8864,-11.1253,17.3421,-6.9675,-0.47137,-1.7656,-6.2899,-3.5148,-4.935,-2.0864,-5.9043,-5.466,-4.4598,-4.6587,-8.9402,-3.5973,-2.2456,-2.2371,-3.3988,-0.50172,-0.21596,-4.6961,-5.8397,-2.5374,-4.8096,-7.0829,-4.866,-0.20019,-2.1039,-0.032055,-2.334,-4.9625,-0.81568,-2.2496,-4.1781
0.004,-8.5074,-136.2132,-2.1254,-2.2559,0.2643,1.7021,0.95004,1.7809,1.229,6.7214,10.3311,10.7479,-53.6712,-51.1644,-47.8299,-48.6787,-38.5785,-40.846,-40.8398,-19.4231,-21.8728,-19.8949,-15.0098,-5.0975,-3.966,-8.3161,-3.6226,-6.8013,-2.4828,-4.0132,-10.7353,18.1978,-7.1985,-0.69642,-1.9626,-7.2178,-3.1355,-5.2967,-2.4417,-6.1324,-5.7626,-3.8634,-3.9147,-10.0215,-3.0173,-2.0754,-2.2575,-3.8225,-0.54511,0.54658,-5.9161,-5.7821,-2.1157,-4.9334,-7.6964,-4.9466,-1.1618,-1.787,0.58197,-3.1614,-4.7567,-0.24878,-1.4796,-4.3127
0.006,-9.5322,-136.6865,-1.7456,-1.8623,0.096576,1.6251,0.65219,2.1027,1.0623,6.6198,10.1309,10.315,-55.6513,-51.0728,-48.1561,-48.2341,-38.6914,-41.2309,-42.2098,-19.5628,-21.4862,-20.3017,-15.2514,-5.3478,-3.212,-8.4234,-4.0102,-7.1587,-3.5165,-4.2855,-10.8548,18.1617,-7.73,-0.54185,-2.6615,-6.3903,-3.2373,-5.9704,-2.1001,-6.0503,-5.929,-3.8226,-3.6587,-9.6831,-3.1371,-2.3064,-1.9413,-3.6409,-0.82377,0.80507,-5.5358,-5.3856,-2.0836,-4.0307,-7.2744,-3.8593,-1.1979,-1.0021,0.039144,-3.0726,-5.7008,-0.86787,-1.306,-3.7259
0.008,-9.5236,-137.4151,-1.7819,-1.6714,0.48218,0.84139,0.45051,2.0108,1.8355,5.6349,9.5811,8.3928,-56.1003,-51.0064,-48.1007,-47.8484,-38.4278,-41.4244,-44.1004,-20.2623,-22.018,-18.5626,-15.9286,-5.16,-2.5134,-9.1382,-4.2393,-7.5654,-3.4206,-4.1467,-10.7737,18.0581,-7.2267,-0.5811,-3.1388,-5.9777,-3.0886,-5.4128,-2.7255,-5.7439,-5.3333,-3.5069,-3.9998,-9.0171,-3.6195,-2.8355,-2.3592,-3.4992,-0.10659,0.46356,-4.34,-5.9748,-2.4247,-4.7097,-5.8636,-3.4931,-0.42213,-1.5789,-0.3806,-2.7088,-5.5996,-1.023,-1.7023,-3.8938
0.01,-10.262,-137.7559,-2.5987,-2.2375,0.16983,0.33632,0.058408,2.0591,1.8327,4.7683,9.2405,8.8937,-55.9376,-51.6063,-48.4753,-48.2804,-38.3458,-41.5694,-46.0193,-24.0086,-22.5456,-19.3432,-16.8503,-4.2054,-2.1666,-9.2306,-4.8645,-7.2144,-2.5351,-3.9681,-10.9196,17.8785,-7.0057,-0.87421,-3.0351,-6.6523,-2.1644,-5.6338,-2.4964,-5.427,-4.9988,-3.7111,-4.2029,-9.1205,-3.7838,-3.0088,-3.2028,-3.7761,0.54131,-0.39442,-4.7181,-6.2778,-1.6469,-5.602,-5.5171,-3.9569,-0.48534,-1.9506,0.0079623,-2.5974,-4.8052,-1.317,-1.9988,-4.2723
0.012,-10.2768,-138.439,-2.4135,-1.9565,0.0033904,1.0415,0.23307,2.723,1.2233,5.0429,9.5887,10.4385,-55.3237,-51.0251,-48.7122,-48.1202,-38.7479,-41.5127,-46.0774,-24.2735,-22.2225,-21.0156,-15.9458,-4.753,-2.2583,-9.3809,-5.0409,-6.8405,-2.4043,-3.518,-11.1733,17.2976,-7.1928,-0.63796,-3.3232,-7.1469,-2.1525,-5.3449,-2.6805,-5.7391,-5.1027,-4.3807,-3.9725,-9.4068,-3.5488,-2.7339,-3.457,-4.1769,1.1938,-0.21452,-5.9263,-6.6556,-1.7878,-4.895,-6.7896,-3.6617,-0.079058,-2.1891,-0.087689,-2.9186,-5.1782,-1.7909,-2.5511,-3.5437
0.014,-9.4124,-138.5596,-1.1226,-0.8698,0.71289,2.1778,1.2717,4.3072,1.6312,5.5596,10.2951,11.4499,-54.4929,-49.7282,-47.9699,-47.2184,-38.5973,-40.9042,-44.3536,-21.7639,-23.1201,-20.1102,-14.9617,-4.8074,-3.2987,-9.3143,-4.0672,-7.3242,-2.886,-3.5187,-10.8504,16.9316,-6.966,-1.1057,-2.6219,-7.1421,-2.5175,-4.5686,-2.7833,-6.0511,-5.9636,-4.145,-3.387,-9.3299,-3.6377,-2.2009,-2.6933,-4.4611,0.68596,-0.094007,-5.4062,-6.2071,-2.3582,-4.7025,-7.0169,-4.073,-0.30401,-2.0054,0.00056507,-3.3007,-5.4563,-1.4573,-3.0232,-3.3431
0.016,-8.9751,-137.9442,-1.0649,-0.039452,1.7071,2.2556,2.2252,4.4623,2.8067,6.5817,11.4991,12.6321,-54.3967,-48.4758,-46.823,-46.1344,-38.9369,-40.5443,-40.7423,-21.8265,-23.3679,-19.3375,-14.5407,-4.3308,-3.1182,-8.8755,-3.5685,-7.28,-2.8024,-4.1992,-10.8002,16.0591,-6.0388,-0.99118,-1.9975,-6.7861,-2.877,-5.3386,-1.9618,-6.3057,-6.1432,-3.8119,-3.776,-9.1851,-4.3654,-1.5656,-3.1886,-3.9872,-0.18197,0.05661,-5.176,-5.638,-3.2456,-4.4724,-6.5638,-4.244,-0.97516,-2.132,-0.16479,-3.1474,-5.3531,-1.3643,-3.272,-3.3027
0.018,-7.6075,-137.526,-1.9212,-1.1301,2.1827,1.5005,2.3827,3.362,3.1926,7.1793,11.0335,12.6543,-54.2936,-48.6573,-46.4038,-46.7927,-38.7652,-40.2021,-38.5336,-21.3963,-20.3552,-19.0491,-14.4948,-4.5731,-2.5184,-8.4342,-4.0721,-7.2372,-2.8111,-4.2435,-11.3915,15.7905,-5.8937,-0.75812,-1.878,-6.5543,-2.9844,-5.6815,-2.0647,-5.7526,-5.2542,-3.5553,-4.1237,-9.0445,-3.9218,-2.0076,-3.5698,-3.5103,0.64485,0.40295,-5.2223,-5.7142,-3.8003,-5.2897,-7.5149,-3.7939,-1.3145,-2.4697,-0.64685,-2.7411,-5.1494,-1.7337,-3.4884,-3.2651
0.02,-8.7027,-137.309,-2.3352,-2.3333,1.0657,0.71533,0.92368,2.3342,2.4917,6.1706,9.6861,10.8524,-55.2229,-50.7858,-47.3899,-47.9741,-38.095,-40.3191,-40.2618,-21.7238,-20.2193,-18.9988,-15.4631,-4.695,-2.8154,-8.0697,-4.7891,-7.8779,-3.1671,-3.2802,-11.2293,16.7221,-6.8064,-0.75812,-2.3022,-7.0999,-2.4731,-5.5936,-2.2624,-5.9577,-5.7865,-3.4661,-3.5554,-9.7915,-3.7116,-2.643,-2.9062,-3.7081,0.6144,0.57586,-4.8756,-5.936,-2.7197,-5.2801,-7.2474,-3.3955,-1.097,-1.5182,-0.28567,-2.348,-4.8143,-1.9453,-2.9418,-3.6231
