time/other,Port1,Port2,Port3,Port4,Port5,Port6,Port7,Port8,Port9,Port10,Port11,Port12,Port13,Port14,Port15,Port16,Port17,Port18,Port19,Port20,Port21,Port22,Port23,Port24,Port25,Port26,Port27,Port28,Port29,Port30,Port31,Port32,Port33,Port34,Port35,Port36,Port37,Port38,Port39,Port40,Port41,Port42,Port43,Port44,Port45,Port46,Port47,Port48,Port49,Port50,Port51,Port52,Port53,Port54,Port55,Port56,Port57,Port58,Port59,Port60,Port61,Port62,Port63,Port64
0.002,-39.6752,-118.1752,-16.9478,-10.8968,-3.8424,7.2278,13.5198,24.0052,31.3283,44.5761,68.5212,91.0351,-453.4845,-422.5473,-397.3885,-386.9793,-142.3974,-298.4741,-253.5895,-212.7659,-183.7532,-142.4892,-106.1537,-4.4502,-1.9241,-9.036,-3.939,-6.813,-1.8499,-3.6593,-60.7061,121.4308,-7.133,-0.96062,-2.585,-7.1004,-2.5806,-5.196,-3.8841,-5.1771,-4.2404,-3.826,-3.3282,-8.8568,-3.734,-2.4176,-2.4086,-3.6092,0.24686,0.15514,-5.1814,-5.5273,-1.7684,-4.1535,-6.3333,-2.7699,-1.5388,-1.4784,-0.030257,-2.8331,-4.5013,-0.51879,-2.2801,-2.6575
0.004,-38.2591,-117.4097,-13.9686,-6.0893,-2.5598,9.3853,17.0511,27.7298,32.7634,48.2769,72.5105,93.7412,-451.6876,-415.8087,-391.7283,-380.6197,-143.8554,-291.854,-250.0849,-211.1779,-181.6338,-140.6662,-103.4027,-4.1944,-3.2345,-9.7976,-4.1819,-7.111,-3.0431,-4.6278,-60.9093,122.4875,-6.84,-1.4106,-2.7079,-6.0929,-3.0331,-5.3986,-4.1176,-5.8106,-3.6825,-3.3689,-4.5509,-9.8575,-3.3946,-2.6658,-2.2143,-4.5301,0.65711,0.21719,-6.024,-5.4815,-2.5723,-4.3679,-6.4232,-3.5157,-1.278,-1.1366,0.32039,-2.2081,-4.4056,-0.87897,-2.304,-2.6724
0.006,-33.6383,-117.667,-10.4158,-4.1151,0.95409,12.0519,20.8835,31.04,36.4904,51.9951,76.3384,97.0278,-446.8779,-411.8267,-387.1136,-376.114,-144.4252,-289.5528,-245.445,-207.887,-178.4581,-137.225,-100.2215,-4.3369,-3.2558,-9.1156,-3.6292,-7.502,-2.0849,-4.9629,-60.5384,124.5187,-6.3126,-0.92214,-2.2711,-6.3897,-2.9702,-5.3203,-3.6635,-5.3872,-3.7824,-2.7968,-5.1357,-9.2059,-2.9878,-2.5802,-3.0545,-3.7843,0.76693,-0.046644,-5.9396,-5.7002,-3.0205,-3.9726,-6.0762,-4.0611,-1.0948,-1.8054,-0.19444,-2.5533,-4.7658,-1.3663,-2.4863,-2.3508
0.008,-32.0507,-117.8004,-9.6116,-4.2607,3.3167,13.0543,21.7856,31.3389,38.4548,52.4895,76.2616,98.5066,-443.029,-411.6063,-386.9145,-377.619,-143.7327,-289.9262,-245.2999,-207.1314,-178.3201,-136.5211,-99.0758,-5.2722,-2.7284,-8.1794,-2.8115,-8.0659,-1.815,-4.6128,-60.0078,125.9964,-6.8899,-0.58926,-2.6421,-6.5731,-2.6245,-4.9981,-2.9768,-5.8042,-4.5985,-4.1806,-4.5244,-9.6354,-3.3899,-3.0399,-3.4213,-3.7171,0.2194,-0.090617,-4.7718,-5.2087,-2.8081,-4.403,-6.2887,-4.4844,-1.7152,-2.0086,-0.37274,-2.579,-5.4238,-0.95101,-2.6931,-3.4759
0.01,-31.905,-117.5303,-8.6069,-4.3271,4.0388,13.4333,20.7145,30.1369,38.0726,52.7184,74.9769,97.77,-443.1383,-410.3472,-387.3957,-378.9348,-143.6228,-289.3285,-245.6125,-206.1036,-177.2315,-136.0068,-99.4668,-5.6464,-2.8736,-8.0524,-3.2631,-7.7621,-1.3305,-3.9501,-58.8959,126.3712,-7.1367,-0.45288,-3.0528,-6.7255,-3.4321,-4.5699,-1.5534,-6.4137,-4.3534,-4.1305,-3.8121,-9.4057,-3.1484,-3.4431,-3.1587,-3.7873,0.50918,0.4161,-4.7783,-5.3031,-2.6891,-4.4119,-6.8053,-3.876,-1.8328,-1.4221,-0.19146,-2.355,-4.8482,-1.2116,-2.3455,-3.3744
0.012,-33.4138,-117.7573,-12.4386,-8.2473,2.238,11.5804,16.6869,26.0572,36.4656,50.1709,71.969,92.7676,-445.7964,-413.0686,-390.7912,-382.1421,-142.7263,-290.5401,-247.839,-208.586,-177.2973,-138.3074,-101.0118,-4.7482,-2.7839,-7.8386,-4.2645,-7.1353,-1.3887,-3.7149,-58.8316,125.891,-6.3669,-0.55875,-2.3345,-7.5604,-3.9284,-5.6926,-1.4496,-6.0695,-5.0533,-3.0779,-3.9643,-9.2556,-2.8678,-2.0859,-2.1852,-3.5353,0.88817,0.79582,-4.5442,-5.8453,-2.2847,-4.0527,-6.4758,-3.8962,-1.2893,-1.0817,-0.074075,-1.8821,-4.0706,-1.5923,-2.0008,-2.7391
0.014,-36.6482,-117.8204,-16.8447,-10.9711,-2.6177,7.5729,14.0325,23.4175,32.7705,45.6587,69.9594,90.599,-450.6436,-417.9471,-394.7094,-383.3808,-142.5683,-296.3972,-251.8498,-210.701,-181.3946,-144.1836,-103.6961,-4.7184,-2.8757,-8.4649,-3.9968,-7.1268,-2.7833,-3.5286,-59.4987,125.3699,-6.1281,-1.6079,-2.2719,-6.7015,-3.1382,-6.2928,-2.4849,-5.9984,-5.6722,-1.8309,-4.6848,-10.3177,-2.9631,-2.0698,-1.9587,-3.7636,1.0102,0.80908,-5.1909,-5.9085,-1.1008,-4.2182,-6.5052,-4.5329,-0.83178,-1.6445,-0.30442,-2.5423,-4.2578,-1.3691,-2.6171,-2.5886
0.016,-38.5233,-117.7812,-15.917,-9.4128,-4.2575,7.6001,15.9609,25.2837,32.048,45.7763,71.7079,92.9127,-451.7786,-417.9025,-392.4786,-379.0746,-143.8493,-297.3809,-250.5925,-211.1815,-182.5129,-144.6965,-103.8425,-5.3274,-2.8664,-8.3674,-3.9034,-7.72,-2.229,-3.6751,-60.0249,124.0353,-7.2177,-1.7403,-2.3615,-6.0419,-2.4388,-5.5052,-2.8859,-5.3177,-5.6309,-2.9335,-4.3192,-9.9811,-4.0884,-3.3428,-2.7606,-3.7201,0.13323,-0.10038,-5.2291,-5.5176,-2.2597,-5.0423,-6.3898,-4.6614,-1.0564,-1.7291,-0.0072432,-2.2368,-4.9305,-1.737,-2.6164,-2.8988
0.018,-37.4073,-117.9426,-15.5683,-9.4694,-0.98047,9.8943,16.2553,25.9089,34.2241,48.5479,72.8874,92.9594,-448.366,-415.865,-390.1839,-379.3283,-144.7157,-294.3927,-248.0407,-211.2904,-179.2217,-140.7646,-102.2999,-5.3768,-3.1775,-7.8042,-4.4704,-7.6935,-1.9685,-3.4579,-61.3334,122.8008,-7.1598,-1.259,-1.8232,-6.6146,-2.5568,-5.5473,-2.0324,-5.4047,-5.3817,-3.0737,-3.7542,-8.2789,-4.1623,-3.1647,-2.6116,-3.5227,-0.15655,-0.67264,-4.8701,-5.4822,-3.5831,-4.8447,-6.1144,-4.0618,-1.2614,-1.0298,0.48606,-1.3269,-5.2007,-1.9256,-2.5299,-4.1049
0.02,-38.4953,-117.1572,-17.6862,-12.015,-1.1182,7.8263,13.3086,23.3324,34.3044,47.7952,69.825,90.8622,-446.3682,-416.0674,-390.8742,-378.9481,-144.0435,-292.9019,-248.3519,-211.8681,-179.2788,-140.9658,-104.8837,-5.8797,-2.8601,-8.1737,-4.1756,-6.8186,-2.0762,-3.8802,-61.21,123.6566,-6.3886,-0.44086,-3.159,-7.5133,-2.4755,-4.4682,-1.3851,-5.9736,-4.5877,-1.4997,-3.5623,-8.2275,-2.9393,-2.0397,-2.6187,-3.0622,0.36963,0.79161,-5.4001,-5.4399,-2.5362,-3.9118,-6.2911,-3.7524,-0.47751,-0.79623,0.039555,-2.1611,-4.3852,-0.19462,-2.2351,-3.7592
