time/other,Port1,Port2,Port3,Port4,Port5,Port6,Port7,Port8,Port9,Port10,Port11,Port12,Port13,Port14,Port15,Port16,Port17,Port18,Port19,Port20,Port21,Port22,Port23,Port24,Port25,Port26,Port27,Port28,Port29,Port30,Port31,Port32,Port33,Port34,Port35,Port36,Port37,Port38,Port39,Port40,Port41,Port42,Port43,Port44,Port45,Port46,Port47,Port48,Port49,Port50,Port51,Port52,Port53,Port54,Port55,Port56,Port57,Port58,Port59,Port60,Port61,Port62,Port63,Port64
0.002,-14.0535,-64.5287,-10.5016,-12.1573,-13.3364,-21.5864,-30.6883,-33.0916,-34.6215,-30.6267,-28.3033,-31.1425,0.9915,-3.1107,-7.2008,-11.4195,27.3955,-16.805,-18.5144,-10.678,-12.3427,-11.869,-12.1819,-4.6727,-2.8556,-8.0547,-3.7114,-6.9579,-2.3758,-3.6151,-7.7492,17.859,-7.444,-0.97808,-1.92,-5.61,-2.411,-4.6186,-1.7131,-4.9157,-3.817,-3.7588,-4.2267,-7.7219,-4.1595,-2.2394,-2.036,-3.679,-0.22178,0.58274,-4.3189,-4.7797,-2.5674,-3.5524,-5.256,-4.0146,-0.85993,-1.5069,0.14522,-2.8982,-3.8444,-0.42886,-2.6934,-2.4761
0.004,-14.0762,-64.479,-10.1047,-13.3759,-15.0101,-23.4672,-31.2242,-33.0049,-34.4226,-31.1294,-27.4272,-31.2138,-0.82657,-2.7287,-7.7608,-10.9588,26.8836,-17.7717,-17.9938,-11.1866,-13.775,-12.868,-12.6314,-4.8205,-2.9954,-8.8556,-3.6929,-7.109,-2.7569,-3.5978,-8.4397,17.3907,-6.9967,-0.55788,-2.024,-5.8392,-1.9857,-5.026,-2.0413,-5.873,-4.561,-3.7279,-3.8479,-8.3245,-4.3753,-2.1113,-2.0251,-4.246,0.19228,0.29815,-3.7592,-5.5974,-2.9864,-3.2736,-5.6578,-4.5399,-0.88259,-0.98254,0.12961,-2.5453,-4.1589,-1.1965,-1.6547,-3.2555
0.006,-13.6164,-64.4518,-10.0562,-11.6499,-12.3438,-24.5429,-31.178,-30.5239,-33.267,-30.6394,-27.3272,-30.5577,-1.2828,-2.342,-6.7057,-10.5825,26.91,-17.0742,-18.0813,-11.1873,-13.2835,-13.1505,-12.5341,-4.7921,-2.835,-9.1293,-4.0252,-6.597,-2.7692,-3.3442,-8.0874,17.4446,-6.5682,-0.84072,-2.9269,-5.7841,-2.8195,-5.2395,-3.184,-5.4611,-4.5387,-3.5742,-5.2304,-8.6553,-4.0584,-2.7985,-2.1923,-4.1971,0.044075,0.1612,-4.4123,-4.6517,-2.7848,-3.5853,-6.3691,-4.2566,-0.87203,-0.76568,0.031336,-2.2313,-4.553,-1.1349,-1.9204,-3.7419
0.008,-13.1518,-64.5255,-11.5462,-9.3014,-9.7755,-25.1487,-29.5486,-29.1126,-33.6423,-30.3366,-26.7672,-29.8833,-0.42563,-2.7114,-6.5775,-10.6298,26.8436,-16.8413,-18.0985,-10.6167,-13.3699,-12.4881,-11.9615,-5.213,-3.2506,-8.3063,-4.0759,-6.9901,-2.5011,-3.2953,-7.5057,16.8161,-6.3812,-1.007,-2.0804,-5.6459,-3.0389,-5.2467,-3.1622,-5.2485,-4.5661,-2.7563,-4.4786,-8.381,-4.1882,-3.2672,-2.4082,-4.0639,0.23735,0.04161,-4.5925,-5.055,-3.258,-4.9964,-6.3021,-4.3335,-0.34708,-0.87635,0.037295,-2.532,-4.8358,-0.52367,-2.6243,-3.892
0.01,-12.1815,-64.6192,-12.6536,-11.4747,-10.228,-26.3361,-27.2164,-30.1126,-32.4839,-29.7852,-26.9249,-30.4887,0.67812,-3.0981,-6.5474,-10.9162,26.8678,-16.4693,-17.7873,-10.6956,-13.0715,-11.9994,-11.7641,-5.2639,-3.5165,-8.2229,-3.8869,-7.1548,-2.1638,-3.4992,-8.3819,17.4693,-5.9527,-1.0215,-1.5586,-5.5692,-2.9839,-5.4183,-2.6187,-5.8083,-4.5007,-1.165,-3.2669,-8.3378,-3.5419,-2.3189,-2.6101,-3.4399,0.66592,0.29466,-3.693,-5.6029,-2.5635,-5.0101,-6.4567,-3.5532,0.40521,-1.902,0.25392,-2.4901,-5.1171,-0.37934,-1.6463,-3.6139
0.012,-11.7857,-65.586,-11.1636,-13.652,-14.5248,-25.9398,-24.8697,-31.0963,-32.7092,-30.3159,-27.3157,-31.0252,-0.19443,-4.1524,-7.5113,-12.131,26.9327,-16.6808,-18.1613,-11.7155,-12.6483,-12.7526,-11.9132,-5.0361,-3.0495,-9.5044,-3.3904,-6.5934,-1.5146,-4.026,-9.0144,18.218,-6.4015,-0.99498,-1.7969,-6.4265,-2.6966,-4.7947,-2.2582,-5.422,-4.2825,-0.90103,-3.3556,-8.0045,-3.2107,-2.1166,-2.0297,-2.9817,0.50015,1.0413,-3.6739,-5.3602,-2.7416,-4.103,-7.0093,-3.5063,0.45807,-2.0461,0.21221,-2.4026,-5.2193,-1.009,-1.351,-3.5542
0.014,-13.5242,-65.5468,-9.1711,-10.8002,-19.6124,-24.0539,-25.8114,-30.6584,-33.6487,-30.9239,-27.7841,-31.8255,-0.84347,-4.1979,-8.4856,-11.4431,26.9085,-16.7407,-18.1621,-11.6666,-13.923,-13.5022,-12.3381,-5.17,-2.867,-9.694,-3.8006,-7.2393,-1.8039,-4.8319,-8.2458,17.6118,-7.0011,-0.45103,-2.2869,-5.7809,-2.4589,-4.2927,-2.0969,-5.0989,-4.2031,-1.7672,-3.3656,-7.5515,-4.1261,-2.9306,-2.2049,-3.4554,0.15179,1.086,-3.9555,-5.4235,-2.8585,-4.6423,-6.5668,-3.4488,-0.3252,-0.81916,-0.27832,-2.3894,-5.0917,-1.3352,-2.3861,-3.2833
0.016,-13.8857,-64.523,-8.621,-10.7497,-20.1073,-21.6533,-27.4592,-30.165,-32.0468,-29.4825,-26.6758,-31.8129,-0.54852,-2.6346,-7.3846,-9.7549,26.4683,-15.8147,-17.6602,-11.6154,-13.5673,-12.7137,-12.4426,-5.1489,-3.2613,-8.6498,-4.5338,-7.8809,-2.5689,-4.7002,-8.4584,17.7104,-6.9626,-0.34418,-2.5172,-5.2584,-2.6647,-4.0888,-1.8212,-5.2821,-3.7525,-2.1365,-3.9002,-8.0801,-4.755,-2.5205,-3.3772,-4.0372,0.8485,0.20661,-3.6539,-5.5217,-2.1225,-4.8378,-5.72,-3.1914,-0.52156,-0.77311,-0.21134,-1.4797,-5.3878,-1.5396,-2.78,-3.0273
0.018,-12.9028,-64.4534,-8.9258,-15.1435,-18.3617,-20.0791,-27.5134,-29.9383,-30.8075,-28.5175,-25.1935,-30.6639,-1.0032,-2.8032,-6.4076,-9.9096,26.8957,-15.8798,-17.3759,-11.4357,-12.1982,-12.362,-11.9672,-5.0098,-3.046,-8.2574,-4.4083,-7.7448,-2.2381,-3.1538,-8.7471,17.886,-6.1666,-0.52254,-2.4012,-5.3095,-3.0222,-4.5497,-1.434,-5.1813,-4.3412,-2.2786,-4.7829,-8.0909,-4.0775,-2.4039,-3.2901,-3.6309,1.1044,0.48062,-3.9084,-5.1461,-1.7646,-4.3186,-5.5271,-2.9551,-0.23833,-1.821,-0.3788,-1.4282,-5.605,-2.1792,-2.9612,-2.7919
0.02,-13.0285,-64.9412,-9.4831,-17.2688,-16.2421,-18.5278,-27.5629,-29.6451,-31.0519,-29.4633,-26.5642,-31.259,-0.63454,-4.0395,-5.5533,-10.3758,27.5118,-16.064,-17.7522,-10.8139,-12.3253,-12.8946,-11.762,-4.6567,-3.2969,-7.8858,-4.0303,-7.4591,-2.4399,-2.6083,-8.7893,17.8683,-6.3145,-0.29918,-2.4497,-5.9631,-2.3871,-4.6671,-1.8704,-5.7451,-4.6437,-2.8215,-3.9516,-7.8366,-3.8929,-2.553,-2.8315,-3.6168,0.10442,0.76089,-4.7998,-4.8645,-1.5558,-4.4556,-6.5038,-2.773,-0.5193,-2.003,-1.7804,-1.7864,-5.4231,-2.378,-2.1571,-2.9561
