time/other,Port1,Port2,Port3,Port4,Port5,Port6,Port7,Port8,Port9,Port10,Port11,Port12,Port13,Port14,Port15,Port16,Port17,Port18,Port19,Port20,Port21,Port22,Port23,Port24,Port25,Port26,Port27,Port28,Port29,Port30,Port31,Port32,Port33,Port34,Port35,Port36,Port37,Port38,Port39,Port40,Port41,Port42,Port43,Port44,Port45,Port46,Port47,Port48,Port49,Port50,Port51,Port52,Port53,Port54,Port55,Port56,Port57,Port58,Port59,Port60,Port61,Port62,Port63,Port64
0.002,-23.3956,-122.2164,-16.9594,-20.1665,-24.7513,-28.5576,-24.4123,-25.7582,-26.2018,-23.1983,-20.9159,-22.4362,3.6639,1.5192,-2.4794,-7.2841,-29.2406,-14.1846,-16.8322,-11.8711,-15.3897,-15.2003,-15.9245,-4.5304,-2.6028,-8.0106,-3.2823,-7.7364,-2.3297,-4.3089,-10.232,17.2324,-7.062,-1.3222,-2.2438,-6.4165,-3.5611,-5.6195,-2.2651,-5.9497,-5.0852,-3.8514,-2.6213,-9.846,-4.0923,-2.888,-2.6986,-3.6301,0.47126,0.11055,-5.9558,-5.6879,-2.5937,-5.3267,-6.2352,-4.0027,-0.9532,-1.6392,-0.46454,-2.6977,-5.0016,-0.79087,-2.607,-3.4839
0.004,-20.5302,-122.4573,-17.1561,-22.5975,-27.6404,-27.5501,-24.5641,-27.5205,-26.962,-22.8448,-20.4793,-22.9198,4.6502,1.8123,-2.6956,-6.7093,-29.2549,-13.6552,-17.3019,-11.2484,-15.1753,-14.6841,-15.2227,-4.4514,-2.8443,-8.5067,-3.5817,-7.981,-2.4328,-4.6441,-10.1495,17.5644,-7.0172,-0.97557,-2.5033,-6.8002,-2.8021,-5.5814,-1.5366,-6.843,-6.4535,-4.5208,-3.4152,-10.1989,-3.3652,-3.0312,-2.6986,-3.7031,0.087766,0.50065,-5.9558,-6.4417,-1.412,-4.5442,-6.3758,-4.1913,-0.71409,-1.7036,-0.90406,-2.1369,-4.5054,-1.1848,-2.8914,-3.5555
0.006,-18.4859,-121.6309,-18.861,-27.7599,-29.7546,-27.0621,-27.2379,-28.0064,-28.3134,-23.2411,-21.2263,-24.3514,3.8875,1.1832,-3.9118,-8.1813,-28.7853,-14.2993,-18.0732,-11.2564,-15.028,-15.4369,-15.6349,-4.3405,-2.7513,-8.8113,-3.9635,-7.1418,-2.5461,-3.5657,-10.0478,17.4816,-6.9314,-0.5962,-2.803,-5.9867,-2.5772,-5.6283,-1.7791,-6.8853,-5.6392,-3.7782,-4.2164,-8.9765,-2.979,-2.9881,-2.7823,-4.0727,-0.030167,0.98343,-5.5055,-5.8002,-1.6505,-5.3794,-7.5392,-4.2099,-0.64115,-1.2751,-1.0826,-2.4507,-5.0957,-1.2081,-3.4097,-3.3826
0.008,-18.9214,-121.6787,-20.7515,-30.8578,-30.4399,-27.5033,-29.1547,-27.222,-28.2398,-24.6694,-22.4445,-24.9856,2.8254,-0.12745,-3.8379,-8.828,-29.0178,-15.7648,-18.9308,-11.6928,-15.5182,-16.2614,-16.2951,-4.4174,-2.7115,-9.4815,-3.8426,-6.6076,-2.3631,-3.4443,-9.7443,17.3581,-7.1948,-1.571,-2.7176,-6.4778,-3.5666,-6.2373,-2.8097,-6.7911,-5.5314,-3.3179,-5.4848,-9.0889,-3.8211,-3.082,-2.2819,-3.8588,-0.037012,0.48329,-5.4096,-5.5244,-2.4561,-5.5949,-8.6556,-3.9713,-0.47047,-1.7606,-1.2635,-2.4449,-5.3849,-0.54493,-3.1787,-4.1137
0.01,-19.6251,-122.056,-21.3245,-30.9781,-30.8248,-26.8258,-28.7374,-26.6312,-27.981,-25.2353,-23.3674,-25.5314,3.134,-0.079778,-3.6493,-8.3124,-29.519,-15.7399,-18.9017,-12.2813,-15.7544,-17.0084,-16.123,-4.3673,-2.8614,-9.3534,-2.877,-7.2017,-1.3937,-3.7217,-9.563,17.2162,-7.2409,-1.3437,-2.7406,-6.9275,-3.5451,-5.8412,-2.1069,-6.0788,-5.6755,-4.2793,-4.2553,-8.8815,-4.063,-3.1459,-2.414,-3.5814,-0.23028,-0.29414,-4.7279,-5.5743,-2.966,-5.0121,-7.9975,-4.4453,-0.34867,-2.0973,-1.3472,-2.5445,-5.3098,-1.0784,-2.3809,-4.244
0.012,-18.2526,-122.0146,-23.147,-30.3717,-30.0146,-26.07,-28.6014,-27.3075,-28.9208,-25.1957,-23.4867,-25.7791,3.1915,0.096858,-4.2035,-8.2276,-29.2172,-15.9362,-17.9086,-12.0995,-16.1047,-17.3426,-15.5983,-4.0179,-2.7513,-9.1632,-3.1345,-6.9299,-2.2571,-3.1856,-10.3985,17.2255,-7.215,-1.0884,-2.7382,-6.8312,-3.0826,-4.8395,-1.7591,-5.755,-4.4422,-3.7907,-3.5044,-8.5095,-2.9989,-2.3923,-3.3758,-4.0085,0.33582,-0.19459,-4.2563,-5.7628,-2.4319,-4.858,-6.8612,-4.2776,-0.14866,-1.9878,-0.27041,-3.0284,-5.439,-1.2412,-2.2088,-2.6133
0.014,-16.8553,-122.5729,-27.0537,-29.9725,-28.4807,-25.7576,-28.2019,-27.6846,-28.7023,-25.932,-23.7176,-26.5521,2.5528,0.15704,-4.1781,-8.7896,-29.142,-16.07,-18.2578,-11.9205,-16.4419,-16.8435,-15.4521,-4.8864,-2.9679,-8.827,-4.3866,-7.4255,-3.3427,-4.1911,-11.1912,17.4824,-6.7748,-0.78668,-2.1671,-6.6792,-3.2217,-5.0347,-1.9398,-5.9967,-5.0407,-3.1131,-4.7933,-9.0286,-3.4841,-2.2,-3.1068,-4.1996,1.0328,0.27843,-4.6129,-5.9013,-2.2011,-4.6807,-6.0748,-3.7794,-0.85844,-2.4992,0.54853,-2.8209,-5.6039,-0.67531,-2.2615,-3.27
0.016,-16.262,-122.0074,-31.0466,-28.716,-26.2224,-25.9881,-28.301,-27.9357,-28.4562,-25.8781,-24.2284,-26.8164,2.206,-0.43459,-4.4244,-9.6356,-29.8772,-15.8318,-18.9427,-13.3361,-15.9913,-16.6313,-15.4685,-5.143,-2.4984,-8.2619,-4.8068,-8.001,-2.4946,-4.2834,-10.4669,17.5307,-6.9696,-0.25685,-1.3699,-6.9522,-3.0071,-5.2492,-2.1832,-6.0015,-5.3897,-3.4918,-4.8238,-9.1286,-4.2248,-3.406,-2.8081,-3.9045,1.2108,-0.70932,-4.3954,-5.2583,-2.1346,-5.1294,-5.3273,-3.8197,-1.766,-2.2912,0.24545,-2.0629,-5.3611,-0.82328,-2.4953,-3.6943
0.018,-15.3693,-121.9922,-34.9256,-25.8245,-24.0371,-26.0876,-28.2951,-27.2065,-28.7298,-24.7589,-23.8881,-25.4281,2.7083,0.59705,-4.0588,-8.9104,-30.033,-15.8641,-18.531,-13.555,-15.1803,-16.8077,-15.4148,-4.6602,-2.0594,-8.8019,-4.2763,-7.4505,-2.0785,-3.943,-9.784,17.2929,-7.7792,-1.0084,-2.0691,-7.5148,-2.009,-5.7719,-2.4788,-6.0055,-4.3977,-3.5701,-4.1497,-9.2509,-4.2565,-3.5169,-3.0591,-3.3423,0.71398,-1.0612,-4.5075,-5.3976,-1.9501,-5.2987,-6.6372,-4.4807,-1.0848,-1.8005,0.37361,-2.7755,-4.8367,-0.86838,-2.5937,-3.1822
0.02,-14.0069,-122.3169,-32.9024,-24.0174,-23.2609,-27.0248,-27.4265,-25.6074,-28.0736,-24.4451,-23.3827,-25.1189,3.883,2.225,-2.7049,-7.9843,-29.0223,-14.7655,-17.3629,-11.6747,-14.6127,-15.8757,-15.4793,-4.4275,-2.8074,-9.1346,-4.2315,-7.104,-2.422,-4.3164,-10.5355,17.3719,-7.9769,-1.1421,-2.8489,-7.3549,-2.1513,-6.5293,-2.682,-6.0565,-4.8596,-3.9472,-3.5654,-9.1385,-4.4634,-2.4824,-2.7424,-2.924,0.11669,0.14055,-5.2712,-5.7232,-2.8518,-4.3222,-7.3068,-4.7129,-0.85469,-1.6688,-0.010993,-2.5027,-5.5288,-1.0882,-2.5852,-3.6121
