time/other,Port1,Port2,Port3,Port4,Port5,Port6,Port7,Port8,Port9,Port10,Port11,Port12,Port13,Port14,Port15,Port16,Port17,Port18,Port19,Port20,Port21,Port22,Port23,Port24,Port25,Port26,Port27,Port28,Port29,Port30,Port31,Port32,Port33,Port34,Port35,Port36,Port37,Port38,Port39,Port40,Port41,Port42,Port43,Port44,Port45,Port46,Port47,Port48,Port49,Port50,Port51,Port52,Port53,Port54,Port55,Port56,Port57,Port58,Port59,Port60,Port61,Port62,Port63,Port64
0.002,-53.5953,-171.5671,-82.9156,-88.1912,-95.4393,-119.8228,-96.8998,-105.3042,-113.4165,-108.8093,-112.4398,-113.8895,21.4711,6.4263,-7.2316,-22.3777,-19.3266,-48.9473,-59.3153,-53.8854,-56.4306,-57.0241,-51.7916,-4.8702,-3.1981,-8.5614,-3.6313,-6.2101,-2.3825,-3.0714,-27.8127,68.3552,-7.2131,-1.3081,-1.8649,-6.7937,-1.9415,-5.8648,-2.1729,-5.801,-5.294,-3.7791,-5.0668,-9.2254,-3.9398,-3.0183,-2.4408,-4.2956,0.40197,0.45914,-4.4402,-4.9999,-3.4011,-4.1325,-5.8696,-3.1864,-0.72278,-1.4857,0.64885,-2.4734,-5.6599,-1.4888,-2.6162,-3.8177
0.004,-57.0564,-171.3307,-77.2018,-86.2741,-101.9227,-110.5255,-95.8572,-102.1286,-108.018,-106.2154,-109.0925,-108.7829,20.6017,7.3647,-5.7625,-19.8218,-19.2112,-47.0193,-56.1441,-52.2736,-56.6325,-54.422,-48.1815,-4.8695,-2.9755,-9.2364,-4.1205,-6.4644,-3.5379,-3.7202,-28.796,68.3199,-6.4902,-1.4893,-2.2198,-6.628,-2.2471,-5.7347,-2.1883,-6.0613,-4.5014,-2.6971,-4.1294,-9.8069,-3.5188,-3.2056,-2.6296,-4.5896,0.48732,0.58675,-5.1817,-6.2009,-2.257,-3.8991,-6.6953,-4.0285,-0.26034,-1.7533,0.35343,-3.3806,-4.8457,-1.0738,-2.8419,-3.5317
0.006,-62.9544,-170.8611,-78.9864,-91.0589,-103.1472,-101.8758,-105.2183,-108.2717,-103.3492,-104.8493,-105.7116,-104.5129,21.5861,8.9566,-5.8766,-19.9099,-18.047,-44.9919,-54.8591,-51.6374,-53.445,-51.4369,-47.4124,-4.3793,-2.2485,-9.4643,-3.7752,-7.5571,-3.0732,-3.434,-28.6292,66.9109,-6.2538,-2.0752,-2.2856,-5.8364,-2.8926,-5.6904,-1.6532,-6.4111,-3.4162,-2.5571,-3.3234,-8.5561,-3.8921,-2.3802,-2.3397,-3.8738,-0.1284,0.76469,-4.9777,-5.3878,-2.0793,-5.0335,-8.1458,-4.3361,-1.0737,-1.9963,0.19382,-3.4715,-4.4316,-0.63981,-2.8018,-3.3203
0.008,-65.5159,-170.8691,-82.6655,-85.7904,-94.2232,-102.4815,-117.1716,-112.4562,-108.5378,-102.1545,-97.9354,-96.5815,20.9383,9.3785,-5.64,-19.3767,-18.0575,-45.3265,-54.7106,-50.7674,-53.0796,-51.4527,-47.5768,-4.7286,-3.137,-8.9512,-3.6257,-7.8628,-3.415,-3.7404,-28.4631,66.4938,-6.903,-1.7931,-2.3751,-5.4714,-3.5382,-5.1964,-1.6219,-6.2155,-2.707,-2.8505,-3.8955,-8.5619,-4.0422,-1.6966,-2.5802,-4.1176,-0.40654,0.40685,-4.9807,-4.9861,-2.2585,-5.0959,-7.5026,-4.2174,-1.5023,-2.1275,0.10325,-4.0411,-4.8921,-1.2277,-2.5627,-4.1596
0.01,-63.8071,-171.0911,-85.9867,-72.1416,-80.1287,-110.8918,-122.4581,-103.7211,-107.8201,-95.6437,-89.7122,-90.6778,21.4037,9.4082,-5.9275,-20.2347,-18.3222,-46.2131,-55.7525,-50.9182,-52.7142,-53.0081,-49.1051,-4.6582,-3.5275,-8.6732,-4.0892,-7.7599,-2.7591,-3.7937,-27.2414,68.4912,-6.8993,-0.85603,-2.4995,-5.8133,-3.5827,-4.9467,-2.3258,-5.6797,-3.0187,-3.1464,-3.669,-9.184,-4.1072,-2.0218,-2.4792,-4.0467,-0.31128,0.77928,-5.6393,-5.206,-1.7636,-4.8705,-6.4726,-4.1036,-0.54278,-2.3313,0.19233,-3.2183,-5.2324,-1.6984,-2.0586,-3.6743
0.012,-64.2495,-171.7428,-80.8707,-64.106,-81.6798,-127.6397,-111.6358,-92.6441,-98.1034,-93.2942,-87.521,-87.6458,19.6794,7.349,-6.2743,-21.1871,-19.2437,-48.2309,-57.0361,-52.6794,-53.9595,-55.1612,-51.3478,-4.7598,-2.8987,-8.3062,-3.9439,-7.4136,-2.5912,-3.7306,-27.2148,66.954,-6.2322,-0.39832,-2.0535,-5.8213,-2.954,-5.8907,-3.2389,-5.5974,-4.1031,-3.8042,-3.8938,-9.6039,-3.819,-2.8896,-2.2771,-3.7719,0.022487,0.41517,-5.7809,-4.54,-1.5436,-5.0688,-6.2482,-3.8977,0.06655,-1.7192,-0.36586,-2.8213,-4.2108,-1.1105,-2.2316,-2.567
0.014,-62.0743,-171.0743,-64.0433,-72.6628,-98.6993,-124.8117,-95.8841,-87.4205,-91.4738,-88.137,-84.5633,-85.4822,19.8274,8.4111,-4.423,-19.2233,-20.561,-46.0362,-54.8635,-51.7336,-54.5044,-54.1202,-50.0272,-4.6908,-2.851,-8.5342,-3.3581,-7.2665,-2.8762,-4.4207,-29.0543,64.385,-6.3608,-1.1991,-1.9663,-6.3019,-2.7764,-5.9351,-2.3998,-5.9016,-4.5979,-3.9625,-3.0143,-9.3074,-2.5858,-3.2549,-2.3656,-4.4234,0.31435,-0.58993,-5.456,-4.7093,-1.8083,-4.3828,-6.8106,-4.3256,-0.52017,-1.1864,-0.59671,-2.822,-4.4358,-1.0393,-2.4376,-2.9209
0.016,-56.3928,-170.2006,-55.7707,-92.5969,-123.8496,-109.1631,-90.8875,-90.2232,-89.8676,-83.9552,-84.7388,-87.5976,21.3209,8.1779,-6.1602,-21.4175,-21.2185,-45.4223,-56.0979,-51.7322,-53.5977,-54.4112,-50.7452,-4.1906,-3.4613,-9.364,-3.8599,-7.8606,-2.0982,-4.0258,-29.7055,65.0772,-6.3587,-1.7169,-2.5216,-5.9273,-3.7053,-5.2149,-1.3732,-5.7195,-4.9707,-4.3951,-3.0921,-8.9289,-3.1694,-2.8726,-2.3977,-4.306,0.21909,0.21226,-4.9221,-4.5496,-2.0651,-4.5259,-7.2585,-4.8657,-1.0346,-2.1882,-0.65985,-2.9174,-5.956,-1.011,-2.74,-3.3877
0.018,-53.674,-171.1294,-59.2376,-103.6182,-141.264,-96.7226,-91.3305,-94.6863,-92.2326,-86.3062,-86.1905,-87.1764,20.2981,8.1544,-6.6204,-21.1839,-20.7661,-46.5329,-56.3104,-52.1672,-54.9595,-55.139,-51.3104,-4.6524,-3.5246,-8.7534,-3.4811,-7.53,-2.5657,-4.058,-28.9347,67.0216,-6.2119,-1.1655,-2.669,-5.5272,-2.9786,-5.3464,-1.662,-5.7595,-5.1875,-3.7949,-4.4708,-8.745,-4.4083,-2.4981,-2.7674,-3.537,-0.11391,0.41384,-4.955,-4.533,-2.0495,-5.1927,-7.4468,-4.7963,-0.72804,-2.2913,-0.85207,-3.5031,-5.3267,-0.99691,-2.7976,-3.2324
0.02,-51.1592,-170.8052,-72.1435,-108.4581,-130.6014,-90.949,-97.4494,-98.837,-93.8905,-91.1092,-86.5055,-87.2649,21.4098,9.2227,-5.415,-22.5712,-19.8288,-46.5012,-56.6483,-52.8725,-54.5869,-56.0176,-52.8156,-4.8971,-2.9826,-8.3535,-3.2833,-6.8929,-2.7017,-4.0025,-27.5928,68.5212,-6.7577,-0.98348,-2.9756,-5.7838,-2.3427,-5.4999,-2.6862,-6.316,-4.9666,-3.2147,-4.2923,-8.6274,-4.1668,-2.3933,-3.0384,-3.2142,-0.61762,0.0064726,-5.2668,-5.453,-2.0205,-5.1223,-7.0708,-4.5848,-0.66326,-1.5902,-1.1973,-3.0283,-4.6524,-1.5439,-2.2147,-3.4566
