time/other,Port1,Port2,Port3,Port4,Port5,Port6,Port7,Port8,Port9,Port10,Port11,Port12,Port13,Port14,Port15,Port16,Port17,Port18,Port19,Port20,Port21,Port22,Port23,Port24,Port25,Port26,Port27,Port28,Port29,Port30,Port31,Port32,Port33,Port34,Port35,Port36,Port37,Port38,Port39,Port40,Port41,Port42,Port43,Port44,Port45,Port46,Port47,Port48,Port49,Port50,Port51,Port52,Port53,Port54,Port55,Port56,Port57,Port58,Port59,Port60,Port61,Port62,Port63,Port64
0.002,-24.2471,-64.5337,-20.7265,-20.247,-18.1288,-20.798,-21.8527,-22.0344,-23.5896,-20.8398,-19.4029,-22.0216,6.6504,3.1988,-0.42457,-5.3556,-20.4336,-14.0889,-17.8971,-12.4654,-18.0196,-19.5532,-20.477,-4.844,-2.8224,-8.6965,-3.5896,-7.2408,-2.2693,-4.9968,-10.2126,16.9112,-7.1992,-0.31747,-1.8367,-5.6682,-2.4961,-5.4337,-2.6001,-6.4237,-4.4744,-5.4292,-4.2514,-9.2833,-4.5983,-2.1862,-2.7172,-3.3156,0.17187,0.88613,-5.3531,-5.4338,-2.1342,-4.9538,-6.6706,-3.8604,-0.78468,-1.5597,0.74435,-1.5406,-4.5932,-1.7438,-2.8407,-3.5053
0.004,-24.8294,-63.6558,-20.7534,-20.9487,-19.2242,-22.1289,-21.7286,-22.0282,-24.22,-21.3967,-19.591,-23.2406,5.7134,3.241,0.17718,-5.2645,-20.6231,-13.479,-18.2847,-12.392,-17.7439,-20.059,-20.3466,-4.6571,-3.2257,-8.7144,-3.5008,-7.9521,-2.7716,-5.3235,-8.7981,17.9039,-8.0511,-1.1752,-1.8888,-7.0392,-2.3253,-5.0957,-2.5278,-6.8966,-5.6876,-5.0563,-3.9478,-10.0764,-3.6384,-2.1093,-2.9541,-3.646,0.2601,0.76634,-4.9908,-5.4365,-1.2046,-5.1477,-6.3887,-4.6799,-0.5081,-1.5242,0.89106,-3.0936,-4.6795,-1.5205,-3.2128,-4.5802
0.006,-25.0143,-63.6613,-19.8037,-21.0698,-19.6473,-22.0449,-21.8862,-21.9894,-23.7352,-20.7875,-19.1837,-22.6674,5.7325,3.7613,0.41569,-5.5974,-20.2486,-12.6303,-18.5147,-12.7257,-16.4318,-19.5819,-20.54,-5.1614,-3.1263,-8.4138,-4.2542,-7.7781,-2.4399,-5.1804,-8.9639,18.606,-7.3096,-1.5121,-2.2146,-6.8419,-2.5407,-4.778,-2.0476,-6.4436,-5.3716,-3.1205,-3.9231,-9.9558,-3.4744,-2.8772,-3.0064,-2.8619,0.52098,-0.37151,-5.2711,-5.2634,-0.69724,-4.5715,-7.0073,-4.8926,-0.54945,-2.0406,0.053219,-3.2409,-4.7553,-0.93791,-2.6968,-4.9399
0.008,-24.9266,-64.2067,-18.5104,-20.7178,-19.5609,-21.0846,-21.636,-21.3989,-22.0402,-19.8542,-18.2719,-20.8042,6.6405,3.9738,0.3395,-5.1044,-19.492,-12.5407,-17.6434,-11.2011,-16.4788,-19.2996,-20.4139,-5.6454,-3.2271,-8.4152,-4.1632,-7.5686,-2.5618,-4.8423,-9.7185,18.0664,-6.9966,-0.60313,-2.4083,-5.3237,-2.1497,-5.3618,-2.193,-5.9029,-4.6794,-2.518,-4.3363,-9.4965,-3.9198,-3.0826,-2.829,-2.8959,0.82216,-0.53867,-5.4555,-5.9179,-1.7347,-4.1317,-7.2455,-4.0908,-0.584,-1.5871,-0.83497,-2.7615,-5.5341,-1.7029,-2.2286,-4.542
0.01,-24.3785,-64.434,-19.9515,-22.0415,-19.7203,-20.6758,-21.0336,-20.921,-21.2691,-19.2038,-18.0181,-20.175,7.2904,4.2324,0.64192,-4.6884,-19.7161,-12.9272,-17.3636,-11.4839,-16.2557,-18.5365,-19.8731,-4.5433,-2.8409,-8.6651,-4.1326,-7.1909,-2.2991,-4.5477,-10.1786,17.3459,-6.7355,-0.99201,-1.6081,-6.1925,-2.2975,-5.8997,-2.0107,-6.0257,-4.4259,-3.743,-4.0675,-9.8658,-3.7859,-3.4474,-2.5241,-3.6637,0.65027,0.31932,-4.6497,-5.6747,-1.8911,-4.3735,-7.1566,-3.0255,-0.29242,-1.9133,-0.80605,-2.1768,-5.8709,-1.7621,-2.5543,-3.9139
0.012,-23.8803,-64.2673,-21.5995,-22.5648,-20.2433,-20.15,-21.3482,-21.1603,-21.7914,-18.9519,-18.1863,-20.6789,7.2192,4.0785,0.39416,-4.4042,-19.8553,-13.3005,-18.4775,-12.7991,-16.0292,-18.4434,-19.469,-3.9615,-2.0131,-9.2563,-4.0466,-6.7818,-2.4428,-4.661,-10.8392,16.7127,-6.8862,-1.1744,-1.9315,-6.9325,-3.1643,-5.3739,-1.5489,-5.9252,-4.3724,-3.4077,-3.6376,-9.8476,-3.2928,-3.5051,-2.1848,-3.9462,0.20762,0.47877,-4.2773,-5.1934,-1.816,-5.3058,-7.0478,-3.0892,-0.066216,-2.3757,-0.58459,-2.4406,-5.2605,-0.94636,-2.7733,-4.1759
0.014,-23.8989,-63.6446,-21.9724,-22.65,-21.4264,-19.5956,-21.3206,-20.7648,-21.7744,-19.9319,-18.7862,-20.4581,6.1651,3.4909,-0.72694,-4.0164,-20.3501,-12.6546,-18.2832,-12.3556,-16.4081,-19.0982,-19.507,-4.7723,-2.0557,-9.3621,-3.6785,-6.2865,-2.7237,-4.1385,-10.133,17.4838,-6.6396,-1.0856,-2.7902,-6.409,-3.1762,-5.1643,-1.9192,-5.6589,-3.8522,-3.1239,-3.9123,-10.2789,-3.6551,-2.5009,-2.435,-4.2685,0.77805,0.28521,-5.0713,-4.9046,-2.3672,-5.0456,-6.8199,-4.7846,-0.40438,-1.4546,-0.20384,-2.9888,-4.8465,-1.1126,-2.9804,-4.2439
0.016,-23.6602,-62.9828,-22.8912,-22.7527,-21.7266,-19.3887,-21.0382,-20.6794,-21.4818,-19.8788,-18.106,-20.5022,6.3549,3.8613,-0.34377,-4.7512,-20.8789,-12.0601,-17.9001,-11.2891,-15.8119,-18.9098,-19.315,-5.5034,-2.3915,-8.6915,-4.171,-6.4981,-2.0886,-3.7667,-10.1956,18.0135,-6.403,-0.93596,-2.8321,-6.4615,-2.2283,-5.0449,-3.102,-5.737,-4.5058,-3.5475,-4.2382,-10.0244,-4.271,-2.5455,-3.1229,-4.332,1.2367,-0.20579,-5.397,-4.5534,-2.5791,-4.5404,-7.182,-4.4446,-1.2424,-1.8549,-0.39195,-2.936,-4.8767,-0.88015,-2.9397,-3.5139
0.018,-23.6851,-63.1909,-23.2286,-22.8348,-20.9994,-19.6132,-20.9522,-20.9599,-21.8536,-18.8671,-18.0823,-20.5377,6.4774,3.6121,0.32414,-5.354,-20.1726,-12.5502,-18.0653,-11.0062,-16.2002,-18.2413,-19.381,-5.2295,-1.9542,-8.5583,-3.6003,-7.3284,-2.5009,-4.2749,-10.4276,17.8725,-6.6569,-0.83034,-3.1239,-6.6795,-2.5295,-5.428,-3.1767,-5.918,-5.5469,-3.4152,-3.6591,-9.2445,-4.1624,-2.7218,-3.2793,-4.1704,0.92408,-0.18832,-5.0962,-4.5106,-2.9817,-5.4558,-8.0165,-3.3229,-0.91996,-2.2751,-0.65938,-2.818,-5.0661,-1.1725,-3.0878,-3.186
0.02,-24.8403,-63.9643,-22.8044,-23.1319,-20.6294,-19.1357,-21.4527,-20.2419,-22.2183,-19.6673,-18.5401,-21.0234,5.6774,2.805,0.35954,-5.1429,-19.686,-13.1748,-18.1218,-11.878,-16.8425,-18.8611,-19.7627,-4.6085,-2.0025,-8.9418,-3.338,-8.1089,-3.0307,-4.7051,-9.6154,17.8709,-6.6366,-0.25983,-2.795,-6.857,-2.767,-5.4111,-1.83,-5.241,-4.5634,-3.4501,-3.2062,-9.114,-3.5559,-1.6152,-3.1018,-4.0377,1.1249,0.14589,-4.7874,-4.8298,-2.5916,-5.3641,-7.6379,-3.9401,-0.702,-2.0117,-0.50086,-2.6627,-5.0437,-2.1671,-2.5957,-3.4133
0.022,-24.8962,-64.5552,-22.4409,-22.3099,-20.4764,-19.0764,-22.0445,-20.1479,-22.0953,-20.2718,-18.3414,-21.5525,6.296,3.255,0.2549,-5.6476,-20.4494,-13.1314,-18.1181,-12.9205,-16.3618,-19.1527,-20.0249,-4.0325,-2.7933,-8.7866,-3.8291,-7.9514,-2.625,-4.6984,-10.2744,17.8188,-6.2681,-0.43911,-2.0976,-6.5498,-2.5358,-4.8191,-1.4895,-5.1636,-5.3806,-3.059,-2.9761,-9.0338,-3.8603,-2.1554,-2.6648,-3.4063,0.55672,0.0045206,-4.4624,-5.4206,-2.4446,-5.0559,-7.1471,-4.3511,-1.328,-1.593,-0.5757,-3.1764,-5.358,-2.4721,-2.0187,-2.9403
0.024,-24.7563,-64.0863,-22.8738,-22.0136,-20.1639,-20.2451,-20.9384,-20.0329,-22.359,-19.573,-18.3743,-21.1827,6.5364,3.4621,-0.063699,-5.2857,-20.7931,-12.8912,-17.9388,-12.9293,-15.6632,-19.1219,-19.1832,-4.1477,-3.296,-8.5311,-4.4432,-6.6827,-2.6816,-3.9938,-10.2899,17.6257,-6.7016,-0.88875,-2.134,-5.8981,-3.6768,-4.1248,-2.9559,-5.958,-5.3477,-3.6324,-3.683,-7.9399,-4.1981,-2.3247,-2.3748,-3.9462,0.42818,0.13819,-4.6402,-5.8674,-2.9419,-4.253,-7.902,-4.7984,-0.98307,-1.1498,-0.65497,-3.2892,-5.3594,-1.6783,-2.4757,-3.4692
0.026,-25.5849,-63.3201,-22.4528,-21.7643,-20.2216,-20.5413,-20.6599,-19.4214,-23.0149,-19.55,-18.3911,-20.4297,6.3082,3.4777,-0.093699,-4.5565,-20.2704,-13.0742,-17.1412,-11.9252,-15.578,-19.1527,-18.0836,-4.9295,-2.6996,-8.8616,-4.9344,-6.8808,-2.5001,-3.5126,-10.2214,16.8737,-7.1668,-0.79916,-2.2122,-6.1409,-3.7172,-4.2966,-2.8716,-5.7011,-4.3213,-3.6324,-4.7331,-7.7912,-3.5179,-1.6306,-3.2629,-4.1999,1.1888,0.70017,-4.8612,-5.5418,-2.8722,-3.7542,-7.8002,-4.443,-0.61557,-1.812,-0.36236,-3.0796,-5.1882,-0.88508,-2.5031,-4.0697
0.028,-25.7163,-63.7881,-21.6208,-21.0037,-19.075,-20.4462,-20.9975,-20.1852,-22.8354,-19.4946,-18.2703,-20.6221,6.5241,3.8144,0.28798,-5.0942,-19.9703,-12.8265,-17.2907,-12.224,-15.7665,-18.5129,-18.2577,-5.2686,-2.2268,-8.3881,-4.8221,-6.9122,-2.8391,-3.6168,-10.3967,16.3501,-6.4383,-0.68553,-2.2146,-5.9467,-3.2064,-5.6982,-1.3778,-5.8104,-4.4967,-4.0826,-5.2562,-8.643,-3.6986,-2.0615,-3.1143,-3.5073,0.2715,0.83877,-4.8598,-4.9649,-3.4563,-4.6633,-6.9001,-3.5888,-0.90342,-1.8578,0.9918,-3.4343,-5.8667,-1.0774,-2.2398,-3.6512
0.03,-25.714,-64.4555,-21.5047,-20.517,-18.0814,-21.1892,-20.7624,-21.4727,-23.2807,-19.8336,-18.7686,-21.185,6.2784,2.7081,0.084041,-5.5369,-20.8172,-13.1476,-18.1144,-12.5279,-16.5358,-18.1224,-19.3795,-5.1382,-3.1845,-8.049,-4.0517,-6.9307,-2.9821,-3.4369,-9.5661,17.3551,-6.4181,-0.5063,-2.0359,-6.3811,-2.4008,-5.8101,-2.0099,-6.7674,-4.4317,-4.388,-5.2875,-9.1817,-4.4454,-2.2308,-2.3803,-3.4033,0.22207,0.77189,-4.9315,-5.591,-2.4258,-4.9578,-6.8405,-4.1666,-0.76061,-1.2822,0.20435,-3.8513,-5.5945,-1.5585,-2.5936,-4.0237
0.032,-26.405,-64.1932,-20.7605,-20.5345,-19.3938,-21.4357,-21.5368,-22.0158,-23.9274,-20.5158,-19.1355,-21.6345,6.59,2.2901,-0.2568,-5.4875,-21.5166,-13.2035,-17.5132,-12.5854,-17.2314,-18.917,-19.8064,-5.2991,-3.5587,-8.4446,-3.7453,-7.6719,-2.7781,-3.9803,-9.4652,19.0184,-6.861,-0.078236,-1.4824,-6.518,-1.975,-4.7077,-3.3783,-6.6126,-5.0769,-4.2025,-4.4494,-9.5229,-4.6158,-1.7806,-2.6914,-3.8127,0.46545,0.58531,-4.9285,-5.3804,-1.4188,-4.8205,-7.1788,-4.4599,-1.1635,-1.6159,-0.7779,-3.2834,-5.3931,-1.8459,-2.8976,-3.8112
0.034,-27.0012,-63.7817,-19.5746,-20.3036,-20.429,-21.7114,-21.7371,-21.7011,-23.5217,-21.2803,-19.4374,-21.6242,6.0694,2.4706,-0.080599,-5.409,-21.8355,-13.0529,-17.5593,-12.9053,-17.3765,-19.2301,-20.4577,-4.7868,-3.3159,-8.8066,-3.4688,-8.3447,-2.9436,-4.1377,-9.357,18.8414,-6.9598,-0.052603,-1.5006,-6.4416,-2.4786,-4.7505,-2.9133,-5.9292,-4.9428,-4.4838,-4.5987,-9.2891,-3.8025,-1.9338,-2.5499,-4.0236,-0.073035,0.62014,-4.7207,-5.2787,-1.5885,-4.68,-7.2082,-3.953,-1.4986,-2.1109,0.0525,-2.7513,-5.0374,-1.8424,-2.1605,-3.1017
0.036,-27.351,-63.5856,-19.8733,-20.6253,-19.9405,-21.247,-21.4251,-20.8744,-22.8382,-21.251,-19.6154,-21.137,5.9653,3.4613,0.24334,-5.1837,-22.1679,-13.3857,-18.162,-12.8791,-16.7818,-19.0194,-20.851,-4.5737,-3.3507,-9.1412,-3.3799,-8.1744,-2.9219,-3.5868,-9.2311,17.9721,-6.7232,-0.64952,-1.9141,-6.966,-1.7969,-5.0659,-2.882,-5.8343,-4.6934,-3.9994,-4.7769,-9.6493,-3.1215,-2.5979,-2.1629,-3.9514,0.06235,0.66606,-4.2457,-5.5003,-1.5298,-4.6058,-6.6587,-3.4567,-0.48254,-2.5577,0.94957,-2.9961,-4.2986,-1.3775,-2.1457,-3.2653
0.038,-26.9064,-63.1439,-21.0733,-20.928,-19.6972,-20.3453,-21.6044,-20.9133,-22.0762,-20.244,-19.9364,-21.5012,6.0809,3.4785,0.39108,-5.0597,-21.8107,-13.2733,-18.5095,-12.6995,-17.0266,-19.6019,-20.0221,-4.5853,-3.6673,-9.2342,-3.5584,-7.5665,-2.3223,-4.0433,-9.5506,17.2945,-6.5725,-0.88238,-3.0559,-6.6525,-1.1352,-4.9821,-3.7606,-6.0082,-4.472,-3.7381,-4.065,-10.3028,-3.9429,-2.6094,-3.2308,-4.5163,0.55748,0.24339,-4.2721,-4.8873,-2.1968,-4.2793,-6.0743,-4.4978,-0.12632,-2.5466,0.24509,-2.6692,-4.6908,-1.1838,-2.5459,-3.9238
0.04,-26.384,-63.2116,-20.988,-21.3135,-20.7363,-20.6253,-21.4934,-21.273,-22.6587,-20.2559,-20.3644,-22.4608,5.3429,1.8745,0.17255,-4.7512,-21.5978,-13.4555,-18.6962,-12.2669,-17.8695,-19.7037,-20.2649,-3.8006,-3.3748,-9.608,-3.1618,-7.4332,-2.3368,-4.3341,-9.924,17.2301,-7.2274,-1.0256,-3.1785,-6.6883,-1.9233,-4.6352,-3.0892,-6.8392,-3.9733,-3.8171,-4.5509,-10.2375,-4.0062,-2.2546,-3.9805,-4.1114,0.73469,0.32969,-5.0822,-5.2219,-2.1616,-4.9402,-6.2736,-5.0965,0.12167,-2.1678,-1.1053,-2.5769,-4.8606,-1.1697,-2.6252,-4.3437
0.042,-26.2107,-63.348,-20.4444,-21.5573,-21.0897,-20.9157,-21.6754,-21.2217,-23.6772,-20.9198,-19.4145,-23.3455,5.5924,2.5222,-0.2568,-4.8061,-20.8119,-13.4261,-18.1315,-12.224,-17.5129,-19.4479,-20.8237,-4.4114,-2.6918,-9.8011,-3.1838,-7.5137,-2.1982,-4.0568,-10.5048,17.516,-7.2267,-0.27426,-2.5467,-6.6692,-2.8894,-5.07,-2.9905,-6.3343,-4.4531,-4.269,-4.8412,-9.2453,-3.7319,-2.7648,-2.9666,-3.4955,0.15971,0.36452,-4.7867,-6.226,-1.6628,-5.3648,-7.3603,-4.3213,0.2081,-1.8445,-0.1875,-2.7066,-4.6171,-1.3007,-2.9741,-3.7609
